instance_name,best_model,best_r2_score
oc8051gm0caddr,linear,0.9525752416975186
csmacdp2,linear,0.9142024298856631
139452p0,linear,0.996948643972362
zipcpu-pfcache-p13,linear,0.9966764543729124
bobsmdct,linear,0.9651795362320528
beemfwt2b2,linear,0.9453186950455095
oski15a08b07s,polynomial,0.9952048419561274
qspiflash_dualflexpress_divfive-p092,linear,0.8986536364394739
qspiflash_dualflexpress_divfive-p079,linear,0.9151949125435188
bobtuint12neg,linear,0.9457554161081605
picorv32_mutCY_nomem-p3,exponential,0.9327565539032797
texaspimainp05,linear,0.904000845877678
6s326rb08,linear,0.9980081974962908
oski15a08b11s,exponential,0.9242259664933891
oski15a14b32s,linear,0.9978778171181688
picorv32-check-p20,polynomial,0.9828028287679621
qspiflash_dualflexpress_divthree-p012,exponential,0.9971008823099156
visemodel,linear,0.9487744438132787
qspiflash_dualflexpress_divthree-p006,linear,0.9213237198790205
pdtpmsretherrtf,polynomial,0.9718059968491706
intel026,polynomial,0.9925444804265282
rast-p01,linear,0.9539524096417553
vcegar_arrays_itc99_b12_p2,polynomial,0.9840782839124022
oc8051gmcadata,linear,0.9433714522217133
gen44,exponential,0.9183698955967472
kenflashp13,linear,0.998823214598822
kenflashp07,linear,0.9994573873022403
arbitrated_top_n2_w64_d64_e0,polynomial,0.9788909292233906
oski15a01b70s,exponential,0.9664269824490828
qspiflash_qflexpress_divfive-p036,linear,0.9008510128939489
rast-p00,exponential,0.9879407524076168
qspiflash_dualflexpress_divthree-p007,polynomial,0.9957690955932587
bobtuint24,linear,0.9988699390046074
eijkbs1512,exponential,0.9912510545236959
picorv32-check-p09,linear,0.9182888758102755
oski15a01b27s,linear,0.9991593683007239
qspiflash_dualflexpress_divfive-p050,linear,0.9033756061210265
6s207rb28,polynomial,0.9624710545822678
oski15a01b31s,linear,0.9923107879841063
beemlann2f1,exponential,0.9965172802617491
oski15a14b08s,linear,0.9391200627702033
h_TreeArb,polynomial,0.9887083112342712
pdtvisns3p02,polynomial,0.9373614592159575
6s204b19,linear,0.9744542606533793
oski15a01b11s,linear,0.9993331445933998
mentorbm1or,linear,0.9968233180643987
pdtvistimeout0,exponential,0.9901872503277392
beemcycschd3b1,linear,0.919464259752102
6s184,polynomial,0.9295855313021308
6s221rb14,linear,0.9701216356054987
6s515rb1,linear,0.9177551906087656
texaspimainp12,polynomial,0.9574844035929908
picorv32_mutCY_nomem-p0,exponential,0.9995424940318394
6s277rb292,polynomial,0.9924099399405415
oc8051gmb8addr,linear,0.9574603727388542
cal122,exponential,0.9999871027889143
qspiflash_dualflexpress_divthree-p005,polynomial,0.9849358791304229
qspiflash_dualflexpress_divfive-p126,polynomial,0.9866550278350001
intel031,polynomial,0.9963228570701633
eijks713,linear,0.9293457721713991
blocks,None,
oski15a01b07s,linear,0.9969389035177246
dme6p1,linear,0.9976190382394182
frogs,None,
arbitrated_top_n4_w8_d64_e0,exponential,0.9556968114088782
pdtvisrethersqo0,linear,0.9910347441115119
kenflashp11,polynomial,0.9539687717291626
eijks510,polynomial,0.9930450130384268
kenflashp04,linear,0.9974930220142851
kenflashp10,linear,0.9997121045423564
pdtvisminmax0,linear,0.9815558319626342
oski15a07b5s,linear,0.9603182684127558
139444p22,linear,0.9518874410418007
bobmiterbm1and,linear,0.999544642457936
rast-p03,linear,0.9556480790899627
oski15a14b12s,linear,0.9261983251720556
qspiflash_dualflexpress_divfive-p133,linear,0.9263739497674751
qspiflash_dualflexpress_divthree-p010,polynomial,0.9922022198231223
bobsynth13,linear,0.996866684547383
intel024,polynomial,0.9720252242470775
cal123,exponential,0.9999696267298219
qspiflash_dualflexpress_divfive-p127,polynomial,0.98465066987785
6s0,exponential,0.990408155915218
beemcmbrdg1f1,exponential,0.9929875393381239
picorv32-check-p22,linear,0.9673741393372498
beemprdcell2f1,exponential,0.9683963641947059
qspiflash_dualflexpress_divthree-p164,linear,0.8977323211095631
nusmvsyncarb5p2,linear,0.9633680662236541
qspiflash_dualflexpress_divthree-p158,linear,0.9329851717780001
vgasim_imgfifo-p082,linear,0.9554996295642257
oc8051gm68addr,linear,0.9589252392521944
oski15a14b05s,linear,0.8573688292344882
zipcpu-pfcache-p01,linear,0.9018678854034543
beembrptwo6b1,polynomial,0.9925446077623037
oski3b3i,linear,0.9980925924572702
abp4p2ff,linear,0.9429187466442854
oski15a10b11s,polynomial,0.9844916625458465
6s428rb098,exponential,0.9999987754988998
anderson,None,
6s202b41,exponential,0.9697314949344721
oski15a10b07s,linear,0.9303193256881134
6s325rb072,linear,0.900443039086909
oc8051gma6data,linear,0.9659127961379239
intel020,exponential,0.9807172533689089
6s4,linear,0.9910643606727072
139454p0,linear,0.9989487189482895
bj08aut82,linear,0.9766518291276637
oski15a14b13s,linear,0.8968394258510323
zipcpu-busdelay-p15,linear,0.9623039857288429
zipcpu-busdelay-p00,polynomial,0.9810910229926147
pdtvisblackjack2,linear,0.9997020829210673
arbitrated_top_n3_w16_d32_e0,polynomial,0.8687650705202042
kenflashp01,linear,0.9496684934747116
gen43,exponential,0.9991858709389448
power2eq2048,polynomial,0.9851344851179173
