Complexity,Loss,Equation
1,13.116229,"6.2025614"
3,0.015534184,"x0 * 0.0052394914"
5,0.014775251,"(x0 ^ 1.0115656) * 0.0048077833"
9,0.014774082,"(x0 * 0.006282229) + (-0.0015923401 * (x0 ^ 0.9430709))"
11,0.014759838,"(x0 * 0.0054260106) + (((x0 ^ 0.6282386) * -0.0032095525) - -0.027319502)"
13,0.014634472,"((x0 ^ (x0 - (x0 + -0.0035189118))) + -0.7952571) * (x0 * 0.022675363)"
15,0.014618448,"((x0 * ((x0 ^ (x0 - (x0 + -0.0035099378))) + -0.7952664)) + 0.23715521) * 0.022663223"
17,0.0145812435,"(((x0 + ((x0 ^ (x0 - (x0 + -0.0035095806))) + -0.7952664)) - x0) * x0) * 0.022663305"
19,0.014552198,"(x0 + 1.0409979) * ((x0 + (((x0 ^ (x0 - (x0 + -0.0035099378))) + -0.7952664) - x0)) * 0.022663223)"
21,0.01431953,"((((x0 + ((x0 ^ ((-0.63759476 - (x0 + 0.28240046)) + x0)) - x0)) ^ -0.004959138) + -0.63759476) * 0.013198141) * x0"
23,0.014309777,"x0 * (((((((x0 ^ (x0 + (-0.63764244 - (x0 + 0.28240868)))) + x0) - x0) ^ -0.0051991455) + -0.6375305) * 0.015087397) - 0.00077860313)"
25,0.014181245,"((((x0 + ((x0 ^ (x0 + (-0.63759476 - (x0 + 0.28240046)))) - x0)) ^ ((-0.004959138 + x0) - x0)) + -0.63759476) * 0.013198141) * x0"
27,0.01411142,"x0 * (((((x0 + ((x0 ^ ((x0 + -0.6376426) - (x0 + 0.28240883))) - x0)) ^ (x0 + (-0.0051959134 - x0))) + -0.63764244) * 0.015088634) - 0.00077579357)"
29,0.014077669,"(((((x0 + ((x0 ^ ((-0.6376427 + x0) - (x0 + 0.2824089))) - x0)) ^ ((x0 + -0.005192538) - x0)) + -0.6376424) * 0.0150864115) - 0.00078099105) * (x0 + 1.9448798)"
