Complexity,Loss,Equation
1,31.04212,"9.61905"
3,0.06555857,"x0 * 0.008694073"
5,0.06455273,"(x0 ^ 0.9915041) * 0.0092557715"
7,0.05284086,"(x0 + (0.008650357 - x0)) * x0"
9,0.037339598,"x0 * (((0.003272235 + x0) - x0) * 2.657594)"
11,0.03098167,"(-1.4352484 * (x0 - ((x0 - 17.049955) + 17.055979))) * x0"
13,0.030282024,"(x0 * ((x0 - (17.056011 + (x0 - 17.049946))) * -1.4435774)) - 0.073987365"
15,0.029939108,"(((x0 - 17.049456) + 17.055052) - x0) * ((x0 + (x0 + -17.26692)) * 0.78525656)"
17,0.029910292,"((((x0 - 17.045061) + 17.059431) - (x0 + 0.008763279)) * ((x0 + x0) + -17.31982)) * 0.78521377"
19,0.029906664,"((((x0 + 0.33192962) + x0) * (((x0 - 17.045061) + 17.059431) - (x0 + 0.008763835))) + -0.09927595) * 0.7852671"
21,0.02990065,"(((x0 - 17.045061) + 17.059431) - (x0 + 0.008763279)) * ((x0 ^ -0.40889362) + ((-17.630487 + (x0 + x0)) * 0.78521377))"
22,0.029872905,"(((x0 - 17.045061) + 17.059431) - (x0 + 0.008763279)) * (((x0 + (x0 + -17.450602)) * 0.78521377) + exp(x0 * -0.0026172765))"
23,0.029824864,"((((((x0 ^ -0.43515578) * 17.059431) + x0) + x0) + -17.450602) * 0.78521377) * (((x0 - 17.045061) + 17.059431) - (x0 + 0.008763279))"
24,0.029548645,"((x0 - 17.045061) + (17.059431 - (x0 + 0.008763835))) * (0.78521377 * (((exp((x0 * -0.00808553) + 3.2936082) + x0) - 18.898642) + x0))"
26,0.029548332,"(0.78521377 * ((exp(((x0 * 0.9951023) * -0.00808553) + 3.2936082) + (x0 - 18.898642)) + x0)) * ((x0 - 17.045061) + (17.059431 - (x0 + 0.008763835)))"
28,0.02947448,"(((((x0 - 17.045061) + 17.059431) - (x0 + 0.008763835)) * ((((x0 + exp((x0 * -0.00808553) + 3.2936082)) + x0) - -17.767673) ^ 1.000068)) * 0.78521377) + -0.1665081"
30,0.029473616,"(((((x0 - 17.045061) + 17.059431) - (0.008763835 + x0)) * ((((x0 - -17.767673) + x0) + exp(((-2.4254103 + x0) * -0.00808553) + 3.2936082)) ^ 1.000068)) * 0.78521377) + -0.1665081"
