Complexity,Loss,Equation
1,25.990328,"8.713281"
3,0.022976821,"x0 * 0.013831434"
5,0.022078708,"(x0 * 0.01355532) ^ 1.008088"
7,0.021979345,"(x0 - (x0 ^ 0.32256415)) * 0.013974215"
9,0.021958968,"((x0 - (x0 ^ 0.38979664)) * 0.01402725) - -0.024628298"
10,0.021881953,"((x0 - exp(x0 ^ 0.2091935)) * 0.014821759) - -0.055180237"
11,0.021349961,"(x0 + (0.0136010125 - (x0 - (x0 * 2.8279374e-7)))) * x0"
13,0.018981278,"(((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057))) * x0"
15,0.018954935,"x0 * ((((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057))) + 6.91725e-6)"
17,0.018613644,"(1.0031499 * (((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057)))) * (x0 + -2.2069771)"
19,0.01860408,"(((((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057))) * (x0 + 0.4167468)) + -0.037929103) * 1.0031499"
20,0.018589363,"(((0.01372136 + x0) * 0.99842775) - (x0 - (0.0015724057 * x0))) * ((x0 * exp(2.842351e-6 * x0)) - 1.8599588)"
21,0.018589271,"(((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057))) * (x0 + (((x0 * 2.842351e-6) * x0) - 1.8599588))"
23,0.01858914,"(((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057))) * ((((x0 + 10.670947) * (x0 * 2.842351e-6)) - 1.8695531) + x0)"
25,0.018582055,"(((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057))) * (((x0 * (2.506619e-6 - (-0.7208678 ^ x0))) * x0) + (x0 - 1.7588061))"
27,0.01857356,"((((x0 ^ 1.020912) * x0) * (2.506619e-6 - (-0.7186477 ^ x0))) + (x0 - 1.8657207)) * (((x0 + 0.01372136) * 0.99842775) - (x0 - (x0 * 0.0015724057)))"
29,0.018570146,"((0.99842775 * (0.01372136 + x0)) - (x0 - (x0 * 0.0015724057))) * (x0 + (((2.506619e-6 - (-0.7186477 ^ x0)) * ((x0 * (x0 ^ 1.0156347)) + 1.9935796)) - 1.8657207))"
