Complexity,Loss,Equation
1,375801.28,"488.9602"
3,40254.383,"x0 * x0"
5,31790.146,"(x0 * x0) - 91.99978"
7,16659.732,"(x0 + -14.549424) * (x0 * 1.742543)"
9,15855.824,"(x0 + -3.2145572) * ((x0 * 1.9155053) + -27.809248)"
13,8585.678,"x0 * (((x0 + -17.333176) * ((x0 + -54.30201) * x0)) * -0.003198173)"
15,4367.908,"(x0 + -17.802845) * (((x0 + -47.27585) * (x0 * (x0 * -0.00015567362))) * x0)"
17,3879.3806,"(x0 + -9.030945) * ((x0 + -17.237705) * ((x0 * (x0 * -0.00022201503)) * (x0 + -46.38746)))"
19,3875.1875,"((x0 + -8.992852) * (x0 + -17.199339)) * ((x0 * (-0.0002235443 * ((x0 + -46.495956) * x0))) - 0.06130963)"
21,3699.2834,"(((x0 + -54.425312) * ((((x0 + -54.616463) * (x0 + -18.485508)) * 7.657457e-6) * x0)) * (x0 + -11.106833)) * x0"
23,3543.8445,"(((x0 + -49.310085) * (x0 + -66.59907)) * (((x0 + -15.035394) * ((x0 * (x0 + -15.593141)) * x0)) * 6.749944e-6)) - 30.17974"
25,3530.1697,"(((x0 + -68.49269) * (x0 + -48.872913)) * ((((x0 + -14.975336) * x0) + 9.278231) * ((x0 + -16.28067) * (x0 * 6.6996045e-6)))) - 25.532297"
27,3396.2112,"(((x0 * 0.4849469) + -25.962366) * ((((x0 + -4.570092) + ((x0 * x0) * -0.01710997)) * (x0 + -12.231019)) * x0)) * ((x0 + -18.188044) * -0.0012470384)"
29,3333.4172,"(((x0 * 0.48849583) + -25.967777) * (((x0 * -0.016976466) * x0) + (x0 + -5.1953263))) * ((((x0 + -12.543952) * -0.0013991323) * (x0 + -1.6092448)) * (x0 + -17.988073))"
