Complexity,Loss,Equation
1,375801.28,"489.0001"
3,40254.383,"x0 * x0"
5,31790.146,"(x0 * x0) + -92.003586"
7,16659.73,"((x0 * 1.742462) + -25.350058) * x0"
9,15855.823,"(((x0 * 1.9155129) - 33.96694) * x0) + 89.40399"
13,14224.244,"(((((x0 * -0.031146191) + 3.8777177) * x0) + -67.3306) * x0) - -213.14374"
15,8585.664,"x0 * (((x0 * 0.22909272) + (((x0 * -0.0031981103) * x0) + -3.0099854)) * x0)"
17,4367.8975,"(x0 * (x0 * x0)) * (((((x0 * -0.015366159) * x0) + -12.932633) + x0) * 0.010131413)"
19,3879.3728,"(x0 * ((x0 + -9.026327) * x0)) * ((((x0 * (x0 * -0.015716694)) + -12.568218) + x0) * 0.014124199)"
21,3874.2134,"(x0 + -9.003878) * (((x0 * (x0 * 0.014171202)) + -0.09745129) * ((((x0 * x0) * -0.015730117) + -12.546376) + x0))"
23,3866.4805,"((x0 * (x0 * -0.015714383)) + (x0 + -12.572224)) * ((((x0 * (x0 * 0.013931605)) + -0.2927326) * (x0 + -8.11833)) - 1.1505724)"
25,3651.5762,"(((x0 * 0.024394287) - 0.265486) * (((x0 * x0) * -0.020549921) + x0)) * ((((x0 * x0) * -0.010942261) + (x0 + -14.58314)) * x0)"
27,3396.1323,"((x0 + ((x0 * x0) * -0.017130587)) + -4.500271) * ((x0 * (x0 + ((x0 * (x0 * -0.0139422985)) + -13.57682))) * ((x0 * 0.043239806) - 0.53021175))"
29,3338.6228,"((x0 * ((x0 + -6.135322) + ((x0 * -0.016790288) * x0))) + 6.1403685) * (((x0 * 0.04825507) - 0.5992147) * ((((x0 * x0) * -0.01392582) + x0) + -13.531238))"
