Complexity,Loss,Equation
1,152408.16,"192.09857"
3,70968.24,"x0 * x0"
5,13892.187,"-1562.0814 / (x0 + -24.946957)"
7,4320.2573,"(-3026.0168 / (x0 + -25.666239)) + -191.65837"
9,1677.2753,"((-225.35323 / (x0 + -26.702463)) + -16.71913) * x0"
11,928.3943,"x0 * (((-376.33444 / (x0 + -27.644691)) - x0) + -12.9671755)"
13,716.2702,"x0 * ((((-624.1948 / (x0 + -28.890802)) + -14.156062) - x0) - x0)"
15,602.8333,"((((-435.57056 / (x0 + -33.386127)) - x0) + -8.4842825) * (x0 * 0.19467193)) * x0"
17,595.0586,"-7.4011307 - (x0 * ((x0 * (((-440.4171 / (x0 + -33.964516)) - x0) + -7.854771)) * -0.22023565))"
19,583.9952,"((12.218572 - x0) * (0.28823382 / (x0 + -34.90111))) * (((x0 + -4.4322596) * (x0 - 13.323959)) * x0)"
21,581.0267,"(((((x0 - 1.262843) * (12.412367 - x0)) * 0.3258965) * (x0 + -5.0520782)) / (x0 + -35.39388)) * (x0 + -13.061341)"
23,511.4023,"(((x0 - 13.2290945) * (((x0 * x0) * -0.50809216) / (x0 + -42.178215))) * (x0 + -14.818255)) - (x0 / (x0 - 22.799992))"
25,263.6836,"((((x0 * (x0 + -14.527967)) * (x0 - 5.5834656)) * (-0.6372723 / (x0 + -41.61836))) * (x0 - 13.423731)) - (22.774435 / (x0 - 22.774435))"
27,227.45314,"(((x0 - 13.373511) * (x0 - 6.126697)) * ((x0 / (x0 + -47.163815)) * (((x0 + -12.033536) * -0.028382607) * x0))) - (x0 / (x0 - 22.752739))"
29,224.8784,"(((x0 - 13.373511) * (x0 - 6.126697)) * ((x0 / (-47.163815 + x0)) * ((-0.028387263 * (x0 + -12.033536)) * x0))) - ((1.8777039 + x0) / (x0 - 22.75274))"
