Complexity,Loss,Equation
1,856.19104,"40.357956"
3,232.43237,"x0 * 0.2796354"
5,231.23064,"(x0 * 0.21492073) ^ 1.0688435"
7,198.35359,"(x0 * -358697.16) + (x0 * 358697.44)"
9,187.65764,"1.4368883 * ((358697.4 * x0) + (x0 * -358697.22))"
11,184.28517,"((x0 * 358697.4) + (x0 * -358697.22)) * (1.4368883 * 1.0377176)"
13,178.39836,"(x0 * -358697.16) + (((1.0522956 - x0) + (x0 * 358697.44)) + x0)"
15,145.82668,"(((x0 * -358697.22) - (x0 + 5.3640614)) + (x0 + (x0 * 358697.4))) * 1.7788877"
17,137.13364,"((((x0 + 1.2821273) + (x0 * -358697.22)) - (x0 + 3.2306168)) + (x0 * 358697.4)) * 1.5902628"
19,128.24956,"(((x0 * -358697.22) - (x0 + exp(1.6308731))) + ((exp(0.5168686) + x0) + (358697.4 * x0))) * 1.6096559"
21,123.013916,"((((x0 + 1.1797411) + (x0 * -358697.22)) - ((x0 + 3.2508805) - -2.0232573)) + ((x0 * 358697.4) + 1.1496391)) * 1.7097622"
