Complexity,Loss,Equation
1,98130.82,"198.50723"
3,52014.887,"x0 ^ 1.2926469"
4,47921.543,"exp(x0 ^ 0.38382754)"
5,46375.81,"(x0 * 0.037113868) * x0"
7,44200.836,"((x0 ^ 0.5022475) - 6.4250584) * x0"
8,21497.684,"129.70361 ^ (1.3273256 - exp(89.497375 - x0))"
9,21078.736,"129.36859 ^ exp(0.28674105 - exp(89.61917 - x0))"
10,21007.812,"129.70361 ^ (1.3273256 - exp((89.497375 - x0) * 0.72602975))"
12,8159.868,"1.1834034 ^ ((x0 ^ 0.7826442) - exp((x0 ^ 0.7256791) + -31.685257))"
14,6354.2686,"(1.1942935 ^ (x0 ^ (0.77768546 - exp((x0 ^ 0.69058186) - 31.669027)))) - x0"
16,6110.987,"(1.1962501 ^ (x0 ^ (0.7770286 - exp((x0 ^ 0.6877247) - 31.360819)))) - (x0 * 1.3510898)"
18,6030.268,"(1.1962501 ^ (x0 ^ (0.7770286 - exp((x0 ^ 0.6877247) - 31.360819)))) - ((x0 - 10.693205) * 1.4912102)"
20,6030.2573,"(1.1962501 ^ (x0 ^ (0.7770286 - exp((x0 ^ 0.6877247) - 31.360819)))) - (((x0 - 10.693205) * 1.4912102) + 0.106166154)"
21,6030.257,"((1.1962501 ^ (x0 ^ (0.7770286 - exp((x0 ^ 0.6877247) - 31.360819)))) - (1.4912102 * (x0 - exp(2.3921998)))) - 0.45934975"
22,2007.1934,"1.300223 ^ (((x0 ^ 0.65534496) - exp((x0 ^ 0.7397235) - 34.591053)) + (3.8587196 - (x0 ^ (31.586695 - (x0 ^ 0.76281786)))))"
23,1163.1698,"1.3373486 ^ (((x0 ^ 0.5985833) + exp(1.8606093 - (x0 ^ (31.58704 - (x0 ^ 0.76520824))))) - exp((x0 ^ 0.7431937) + -35.515522))"
25,1143.5016,"(1.3373486 ^ ((exp(1.8606093 - (x0 ^ (31.58704 - (x0 ^ 0.76520824)))) - exp((x0 ^ 0.7431937) + -35.515522)) + (x0 ^ 0.5985833))) + -4.5124397"
27,1111.1886,"(1.3373486 ^ ((x0 ^ 0.5985833) + (exp(1.8606093 - (x0 ^ (31.58704 - (x0 ^ 0.76520824)))) - exp(((x0 + -0.21147144) ^ 0.7431937) + -35.515522)))) - 6.4445715"
28,1111.1876,"(1.3373486 ^ ((x0 ^ 0.5985833) + (exp(1.8606093 - (x0 ^ (31.58704 - (x0 ^ 0.76520824)))) - exp(((x0 + -0.21147144) ^ 0.7431937) + -35.515522)))) - exp(1.8606093)"
