Complexity,Loss,Equation
1,46.06734,"11.589857"
3,0.03376656,"x0 * 0.016335104"
5,0.027842723,"(x0 ^ 1.0155865) * 0.014662364"
7,0.02613995,"((x0 * 3.8425173e-7) - -0.015924081) * x0"
9,0.02386113,"x0 * ((x0 * 1.0000004) + (0.015958589 - x0))"
11,0.022601292,"x0 * ((x0 + ((x0 * 3.713697e-7) - x0)) + 0.015936412)"
13,0.020531679,"(x0 + x0) * (((x0 + (x0 * 1.5948558e-7)) - x0) + 0.007985562)"
15,0.018961994,"(((((x0 * 2.659343e-7) + x0) - x0) + 0.007825219) * (x0 + x0)) + 0.09486384"
17,0.018073441,"((x0 + (x0 ^ 0.8880224)) + x0) * ((x0 + 0.0063330373) + ((x0 * 2.6646327e-7) - x0))"
19,0.017273132,"((((x0 * 2.6636388e-7) + x0) + 0.005878286) - x0) * ((x0 + (x0 + (x0 ^ 0.94004107))) - 0.40460193)"
22,0.01724569,"(((x0 * 2.6636388e-7) + (x0 + 0.005878286)) - x0) * (exp(-0.9048516) + (((x0 + -1.7673508) + x0) + (x0 ^ 0.94004107)))"
28,0.017237658,"(((x0 + 0.005878286) + (x0 * 2.6636388e-7)) - x0) * (((2.6636388e-7 * exp(0.93199223)) + ((x0 + x0) + ((x0 + -0.44132665) ^ 0.94004107))) * (1.0002599 ^ -0.55026907))"
