Complexity,Loss,Equation
1,19.205866,"24.939936"
3,6.5484767,"x0 * 0.43508333"
5,5.270859,"exp(sqrt(x0 / 6.1907945))"
6,5.261244,"(log(x0) * 0.10220818) * x0"
7,5.1466866,"x0 * ((x0 * 0.0028122398) + 0.23358132)"
8,4.595439,"x0 / log((x0 * -0.118672535) + 19.494413)"
10,4.588243,"(x0 - -0.35552108) / log((x0 * -0.118672535) + 19.494413)"
12,4.5124636,"(x0 / log((x0 + (x0 * -1.1388208)) + 21.510084)) + 0.4859079"
13,4.510915,"x0 * (((x0 * -0.0048446157) * ((x0 * -0.007332439) + 0.53557503)) + 0.41621637)"
15,4.5082955,"((((((x0 - 0.7203267) * -0.0073680575) + 0.5356097) * -0.0047793975) * x0) + 0.41615626) * x0"
17,4.507869,"((x0 * ((((x0 - 0.7203267) * -0.0073680575) + 0.5356097) * -0.0047793975)) + 0.41615626) * (x0 - 0.042521432)"
19,4.5064974,"(((-0.004701437 * (((x0 - 0.7203387) * -0.007415356) + 0.53564376)) * x0) + 0.41607577) * (x0 - (0.19609728 + -0.032622833))"
