Complexity,Loss,Equation
1,646.6414,"30.883726"
3,143.07446,"x0 * 0.5426509"
5,90.858826,"exp(sqrt(x0 * 0.1636532))"
7,90.07871,"exp(sqrt(0.1471771 * x0) + 0.20998536)"
8,90.07839,"sqrt(exp(sqrt(x0 * 0.58930993) + 0.41689953))"
9,89.88044,"exp(log((x0 + 48.370617) * 0.028451577) * 2.8142319)"
11,89.85287,"exp(log(0.028162494 * (48.370815 + x0)) * 2.828869) + 0.3858948"
12,89.35036,"(((log(x0) * -0.27185386) + 1.0262103) + (x0 * 0.008009733)) * x0"
14,89.3127,"((((x0 * 0.008551438) + 1.2586462) + (log(x0) * -0.33157045)) * x0) + -1.2228249"
16,88.29935,"(((((x0 * -0.00014661037) + -0.10292425) + (log(x0) * 0.024481505)) * x0) + 1.0693673) * x0"
18,82.06486,"(((((-9.295759e-6 * x0) + (log(x0) * 0.0015804999)) + -0.006998757) * x0) + 0.07106416) * (x0 * x0)"
20,81.98367,"(x0 - 0.50275624) * (x0 * ((((x0 * -9.6817985e-6) + ((log(x0) * 0.0016468157) + -0.0072938562)) * x0) + 0.07394059))"
23,81.92617,"(((((((x0 * -1.5889003e-6) + 0.0015867337) * log(x0)) + -0.007269723) * x0) + 0.075587325) * (x0 - (1.0681028 / sqrt(x0)))) * x0"
