Complexity,Loss,Equation
1,416.08777,"23.237669"
3,98.4356,"x0 * 0.40924305"
5,71.08671,"(x0 * 0.09659651) ^ 1.6569161"
7,69.6331,"x0 ^ ((-0.97197855 ^ x0) - -0.8795969)"
8,68.418,"(x0 ^ exp(-0.976815 ^ x0)) ^ 0.90086466"
10,68.37939,"x0 ^ (0.900863 * exp((-0.97672176 ^ x0) * 1.015401))"
11,45.86641,"(exp(exp((0.70987874 ^ x0) * -4.339473e13)) * x0) ^ 0.70350707"
12,41.283195,"(x0 ^ 0.69574136) + (exp((0.72182363 ^ x0) * -1.3832007e13) * 30.14232)"
14,40.465458,"(x0 ^ 0.722555) + ((29.691782 ^ exp((0.71472776 ^ x0) * -1.372398e13)) - 3.0275805)"
15,40.43592,"((x0 ^ 0.72444016) - 3.163589) + exp(exp(((0.71416324 ^ x0) * -1.3832007e13) + 1.2186211))"
16,39.53962,"(exp((0.72299075 ^ x0) * -1.3832007e13) * 28.562088) + (x0 ^ ((-0.92286295 ^ x0) + 0.70724237))"
18,5.67792,"exp(exp(((0.7334919 ^ x0) * -1.3832007e13) - exp((0.7692624 ^ x0) * -1.3832007e13))) * (x0 ^ 0.7058153)"
20,4.641704,"(exp(exp((0.7334919 ^ x0) * -1.3832007e13)) * (x0 ^ 0.7058153)) - exp(((0.76965165 ^ x0) * -1.3832007e13) + 3.845219)"
21,2.3843641,"(exp(exp((0.73801905 ^ x0) * -1.3832007e13)) * (x0 ^ 0.760828)) - (4.721314 ^ exp(exp((0.7547809 ^ x0) * -1.3832007e13)))"
22,2.2145743,"((exp(exp((0.7346904 ^ x0) * -1.3832007e13)) * x0) ^ 0.7623865) - (exp(((0.7710233 ^ x0) * -1.3832007e13) + 3.8761835) + 4.0943213)"
23,1.8397051,"(((x0 + 1.8315988) ^ 0.76055956) * exp(exp((0.73851305 ^ x0) * -1.3832007e13))) - (4.7213206 ^ exp(exp((0.7547249 ^ x0) * -1.3832007e13)))"
24,1.4714748,"((((x0 - -5.287273) * exp(exp((0.7346281 ^ x0) * -1.3832007e13))) ^ 0.76340324) - exp(((0.77076197 ^ x0) * -1.3832007e13) + 3.9122112)) + -6.0979357"
25,0.67511946,"((exp(exp((0.7348701 ^ x0) * -1.3832007e13)) * x0) ^ 0.767503) - (5.06851 ^ (exp(exp((0.7676929 ^ x0) * -1.3832007e13)) + (-0.8749253 ^ x0)))"
27,0.663308,"(((x0 * exp(exp((0.7348701 ^ x0) * -1.3832007e13))) ^ 0.767503) - (5.06851 ^ ((-0.8771897 ^ x0) + exp(exp((0.7676929 ^ x0) * -1.3832007e13))))) + -0.10138497"
28,0.5657357,"((x0 * exp(exp((0.7349052 ^ x0) * -1.3832007e13))) ^ 0.76984984) - ((exp(((0.76984984 ^ x0) * -1.3832007e13) + 3.8849738) - ((0.9095778 ^ x0) * 5.6227775)) + 5.6227775)"
30,0.5490311,"((exp(exp((0.73336244 ^ (x0 - 0.8163299)) * -1.3832007e13)) * x0) ^ 0.7701162) - ((exp(((0.769807 ^ x0) * -1.3832007e13) + 3.884975) + 5.6227765) - ((0.91513145 ^ x0) * 5.6227775))"
