Complexity,Loss,Equation
1,114.26074,"18.449417"
3,0.26928142,"x0 * 0.067869596"
5,0.22690307,"(x0 * 0.074634716) ^ 0.9718237"
7,0.20980093,"((x0 * -7.347737e-6) - -0.070878156) * x0"
9,0.20003007,"(x0 * ((x0 * -1.0573277e-5) - -0.0729912)) + -0.28838405"
11,0.14638808,"((x0 * 0.0648136) + 1.225094) - ((0.58003384 ^ x0) ^ 0.0004297607)"
13,0.1458536,"(1.225094 - (((0.58003384 ^ x0) ^ 0.0004297607) * 1.0128436)) + (x0 * 0.0648136)"
14,0.1356628,"(x0 * 0.06382138) - (((exp(x0 * -0.5504384) ^ 0.002341044) * 1.5273291) - 1.6189996)"
15,0.13537414,"(x0 * 0.06382138) - ((((0.6562567 ^ (x0 ^ 1.0591837)) ^ 0.0024109506) * 1.5273291) - 1.6250212)"
16,0.13449694,"((1.235071 - (exp((5.3900957 - x0) * 0.5094836) ^ 0.013050443)) ^ 2.8568978) + (x0 * 0.06333806)"
18,0.13346986,"(((1.1401966 - (exp(-1.4345462 - (x0 * 0.49623966)) ^ 0.017178766)) ^ 4.300084) + 0.06744305) + (x0 * 0.063338965)"
20,0.13339566,"(((1.140579 - (exp((0.43805236 - (x0 * 0.48794213)) + -1.8717546) ^ 0.017754)) ^ 4.3024626) + 0.071911275) + (x0 * 0.06332787)"
22,0.13339342,"((((1.1396614 - (exp((0.43466482 - (x0 * 0.49270818)) + -1.8720617) ^ 0.01758663)) ^ 4.3060775) + 0.07533406) + (x0 * 1.0633304)) - x0"
24,0.1333354,"(x0 * 0.06333746) + (((1.200538 - ((((x0 ^ 2.1657133) * exp((-0.11437992 - x0) * 0.49829328)) ^ 0.01770295) * 1.2077106)) ^ 3.0153592) + 0.092831954)"
