Complexity,Loss,Equation
1,124.01116,"18.759304"
3,0.54325813,"x0 * 0.062522426"
5,0.5279716,"(x0 * 0.059578642) ^ 1.0148237"
7,0.52715075,"((x0 * 0.06116986) ^ 1.0081817) + -0.12032978"
9,0.5254865,"((x0 ^ -0.0967507) + -0.93921816) + (x0 * 0.06344515)"
10,0.5239788,"(x0 * 0.06332312) + (exp(-1.0160133 ^ x0) + -0.3256507)"
12,0.5165775,"((exp(x0 * -0.22724381) ^ 0.002974027) * -0.22724381) + (x0 * 0.06279489)"
14,0.50101227,"(((exp(x0 * -0.21345809) ^ 0.013998423) * -3.7210312) - -3.1857414) + (x0 * 0.057051737)"
15,0.47159505,"(x0 * 0.0634855) + ((exp(x0 * -0.21425861) ^ exp(x0 * -0.1950051)) * -0.45185393)"
17,0.33694133,"((x0 * 0.06297451) - -3.1232507) + ((exp(x0 * -0.20691313) ^ exp(x0 * -0.2007701)) * -3.400115)"
19,0.33232468,"((exp(x0 * -0.20494927) ^ exp((x0 * -0.20045415) - 1.0571449)) * -3.5983677) + ((x0 * 0.06282174) - -3.3767142)"
21,0.33225185,"(x0 * 0.06282174) + (((exp((0.38743067 + x0) * -0.20494927) ^ exp((x0 * -0.20045415) - 1.0656103)) * -3.5983677) - -3.3767142)"
22,0.3319046,"((x0 * 0.06282208) - -3.3767142) + ((exp(x0 * -0.2049789) ^ exp(x0 * (-0.20046246 - exp(x0 * -0.20045413)))) * -3.5983677)"
24,0.3318234,"((0.062820464 * x0) - -3.376714) + ((exp(x0 * -0.20495616) ^ (exp(x0 * (-0.20051701 - exp(x0 * -0.09386039))) ^ 0.6392978)) * -3.5983677)"
26,0.33175683,"((x0 * 0.062820464) - -3.376714) + ((exp((x0 + -0.20051701) * -0.20495616) ^ (exp(x0 * (-0.20051701 - exp(x0 * -0.09386039))) ^ 0.6392978)) * -3.5983677)"
