Complexity,Loss,Equation
1,18.10367,"7.436087"
3,0.07725099,"x0 * 0.0079566445"
5,0.06295713,"(x0 * 0.008803933) ^ 0.9590079"
7,0.052873112,"((x0 * -4.0160552e-7) + 0.008518732) * x0"
9,0.045064177,"(((x0 * -6.5171685e-7) + 0.009079692) * x0) + -0.26231718"
11,0.038059995,"(x0 * (x0 ^ 0.14602387)) * ((x0 * -5.161853e-7) + 0.0035088698)"
13,0.037811156,"(((x0 * -4.8607524e-7) + 0.0032716834) * (x0 * (x0 ^ 0.15530366))) + 0.057481855"
15,0.03676463,"x0 * ((((x0 + ((x0 * x0) * -0.0005073973)) * 1.22762285e-5) + 0.05969161) * 0.12459921)"
17,0.03407303,"x0 * ((x0 - (x0 + (((x0 * (x0 * -0.00051682146)) + x0) * -1.4246556e-6))) + 0.0074992506)"
19,0.034072768,"x0 * (0.0074992506 + (x0 - (x0 + (((x0 + -0.22634599) + ((x0 * x0) * -0.00051682146)) * -1.4246556e-6))))"
21,0.018706731,"((x0 - ((x0 + (((((x0 * -0.0005174254) + 0.99999857) * x0) * -1.4261315e-6) + x0)) - x0)) + 0.007516358) * x0"
23,0.018586777,"((x0 - ((((((x0 * (x0 * -0.00051852845)) + x0) * -1.4336679e-6) + x0) + x0) - x0)) + 0.0075276345) * (x0 + -1.8304212)"
25,0.018567847,"((x0 - ((((((x0 * (x0 * -0.00051852845)) + (x0 + 0.4175839)) * -1.4336679e-6) + x0) + x0) - x0)) + 0.0075276345) * (x0 + -1.8304212)"
