Complexity,Loss,Equation
1,81905.055,"276.44772"
3,26249.121,"x0 ^ 1.2263901"
4,23068.186,"exp(x0 ^ 0.3589936)"
5,22978.66,"(x0 * 0.01959096) * x0"
6,22852.84,"exp((x0 ^ 0.34604377) - -0.41143617)"
7,22685.182,"((1.0311302 ^ x0) + x0) + x0"
8,22427.424,"(x0 ^ 1.1507375) + exp(x0 * 0.029865397)"
10,21600.945,"((x0 ^ 3.3565013) + exp(x0 * 0.09372529)) ^ 0.3550657"
11,19504.734,"((((x0 * -1.7459961) + 351.13916) ^ -0.11074523) * x0) * 4.436255"
13,18814.666,"((x0 * 4.7639) * (((x0 * -1.7459961) + 351.31308) ^ -0.10677158)) + -43.614918"
14,18559.598,"exp(((x0 * -2.5975165) + 522.8986) ^ -0.16326283) * (x0 + (x0 - 40.967514))"
16,18264.238,"x0 + (((exp(((x0 * -1.7850031) + 359.40323) ^ -0.44241664) * x0) + -64.137764) + x0)"
18,18236.506,"x0 + ((x0 ^ 1.0085233) + (-68.33349 + (exp(((x0 * -1.7850031) + 359.40323) ^ -0.44175208) * x0)))"
20,17297.146,"(x0 * exp((((x0 * -1.5328236) + 309.87854) ^ -1.0237961) - (309.87854 ^ ((x0 * -0.0058652735) + 0.33744538)))) * 2.9201953"
22,17216.945,"(x0 * exp(((309.87854 + (-1.5328236 * x0)) ^ -1.0237961) - ((x0 ^ 1.3138417) ^ ((-0.0058652735 * x0) + 0.33744538)))) * 2.911953"
23,17214.16,"exp(((309.87854 + (-1.5328236 * x0)) ^ -1.0237961) - ((x0 ^ exp(0.31224218)) ^ ((-0.0058652735 * x0) + 0.33744538))) * (x0 * 2.911953)"
24,17205.791,"(exp((((x0 * -1.5328236) + 309.87854) ^ -1.054457) - ((x0 ^ 1.2883508) ^ ((x0 * -0.0058652735) + 0.33744538))) * (x0 - -1.8128911)) * 2.911953"
26,17205.244,"((exp((((x0 * -1.5328236) + 309.87854) ^ -1.054457) - ((x0 ^ 1.2883508) ^ ((x0 * -0.0058652735) + 0.33744538))) * (x0 + 2.0542195)) * 2.911953) - 0.9454945"
28,17205.164,"(((exp((((x0 * -1.5328236) + 309.87854) ^ -1.054457) - ((x0 ^ 1.2883508) ^ ((x0 * -0.0058652735) + 0.33744538))) * (x0 + 2.0542195)) * 2.911953) - 0.9454945) - -0.28343177"
30,17203.648,"((x0 - (-0.0058652735 * ((-1.0237961 ^ x0) + 309.87854))) * exp((((-1.5328236 * x0) + 309.87854) ^ -1.054457) - ((x0 ^ 1.2883508) ^ ((-0.0058652735 * x0) + 0.33744538)))) * 2.911953"
