Complexity,Loss,Equation
1,514.38416,"10.542375"
5,510.442,"7.1207004 - (x0 * -0.0036950444)"
6,505.37946,"exp(x0 ^ (x0 ^ -0.31997952))"
7,443.15387,"x0 ^ ((x0 * -0.01957153) + 1.9657829)"
8,103.1455,"exp((x0 - 31.564775) * (20.733839 - x0))"
10,24.363518,"exp((x0 - 31.634201) * (21.990517 - x0)) + 8.942158"
12,2.0936973,"(x0 * 0.009387422) + exp((x0 - 33.05631) * (28.212442 - x0))"
14,1.9621058,"(exp((28.212084 - x0) * (x0 - 33.0568)) + (x0 * 0.008833885)) + 0.7058874"
15,0.26410624,"(9.965754 ^ ((x0 - 20.35502) * (1.2417003 ^ (24.299599 - x0)))) + (x0 * 0.008486425)"
17,0.15964313,"((x0 * 0.009283688) + (9.467723 ^ ((x0 - 20.324211) * (1.2349108 ^ (24.214212 - x0))))) - 0.817981"
19,0.061586358,"((8.13288 ^ ((x0 - 20.567974) * (1.6384999 * (1.2883918 ^ (23.775352 - x0))))) + (x0 * 0.009172339)) - 0.7247006"
21,0.06089692,"((8.129518 ^ ((1.2932535 ^ (23.816807 - x0)) * ((x0 - 20.58603) * 1.6689191))) - (0.47381088 - (x0 * 0.009221157))) + -0.2826162"
23,0.05920356,"(8.13288 ^ ((x0 - 20.567974) * ((1.2883918 ^ (23.775352 - x0)) * 1.6384999))) - (((-0.7054387 ^ x0) - (x0 * 0.009172337)) - -0.75640774)"
24,0.052207973,"(8.121198 ^ ((1.2865685 ^ (23.770615 - x0)) * ((x0 - 20.567705) * 1.6244144))) - (0.73500776 - ((exp(x0 * -0.18068852) + 0.009174753) * x0))"
26,0.05021486,"((8.12259 ^ ((1.2881715 ^ (23.772236 - x0)) * ((x0 - 20.568193) * 1.638788))) - (0.73581296 - (x0 * (exp(x0 * -0.18069524) + -0.9908113)))) + x0"
27,0.04965364,"(8.121198 ^ (((x0 - 20.567705) * 1.6244144) * (1.2865685 ^ (23.770615 - x0)))) - (((x0 + (8.121198 ^ (41.818287 - x0))) ^ -0.04706177) - (x0 * 0.009174744))"
29,0.04914085,"(8.121198 ^ (((x0 - 20.567705) * 1.6244144) * (1.2865685 ^ (23.770615 - x0)))) - (((((x0 + 8.121198) ^ (38.61333 - x0)) + x0) ^ -0.04706177) - (x0 * 0.009174744))"
