Complexity,Loss,Equation
1,1187.0286,"10.968103"
5,1168.8735,"(x0 ^ -0.21518204) * 39.550556"
6,1143.9379,"exp(x0 ^ (x0 ^ -0.31825998))"
7,874.9145,"x0 ^ ((x0 * -0.019433705) + 2.0198045)"
8,530.7562,"(exp(x0 * -0.0072904113) * 1.499435) ^ x0"
9,80.88917,"((x0 * -0.9499769) + x0) ^ (44.52199 - x0)"
11,23.070658,"((x0 + (x0 * -0.95008194)) ^ (44.528934 - x0)) + 7.662305"
13,6.739297,"((x0 + (x0 * -0.95113176)) ^ (45.27626 - x0)) - (x0 * -0.013065597)"
15,1.881157,"(((x0 * -0.9423704) + x0) ^ ((x0 * -0.7211269) + 32.574295)) - (x0 * -0.013003996)"
17,1.3195764,"(((x0 + (x0 * -0.95321864)) ^ ((x0 * -0.82056314) + 32.04188)) * 32.04188) + (x0 * 0.013042164)"
19,0.09943726,"((0.5058166 * (x0 * (((-0.96205944 * x0) + x0) ^ ((-1.1580873 * x0) + 34.33366)))) + 0.0131011065) * x0"
21,0.033604935,"((x0 * ((((x0 * -0.9610491) + x0) ^ (((x0 * -1.1078227) + 32.719273) * 1.2992444)) * 0.5832019)) + 0.013078945) * x0"
23,0.026331471,"(x0 * ((((((x0 * -0.9610903) + x0) ^ (((x0 * -1.1059086) + 32.723858) * 1.2638927)) * x0) * 0.5677739) + 0.013435953)) - 0.22624485"
25,0.02509103,"((x0 + 0.64843374) * (((((x0 * -0.9607722) + x0) ^ (((x0 * -1.1052817) + 32.73208) * 1.3461087)) * (x0 * 0.57492274)) + 0.013417294)) + -0.2126652"
27,0.02462888,"((x0 + 0.561868) * (((x0 - -0.12226815) * (((x0 + (x0 * -0.96074545)) ^ (((x0 * -1.1052043) + 32.73208) * 1.3461058)) * 0.57494116)) + 0.013409365)) + -0.21266517"
28,0.017316239,"((((x0 * 0.5677739) * ((((x0 * -0.9610898) + x0) ^ (((x0 * -1.1059086) + 32.723858) * 1.2638927)) + exp(x0 * -0.38243324))) + 0.013435953) * x0) - 0.23462264"
30,0.01699903,"-0.22247949 + ((((exp(x0 * -0.38243324) + (((x0 * -0.9610903) + x0) ^ (((x0 * -1.1059086) + 32.723858) * 1.267217))) * ((0.5677739 * x0) + 0.012163729)) + 0.013435953) * x0)"
