Complexity,Loss,Equation
1,83.76133,"15.252459"
3,0.15512241,"x0 * 0.030678937"
5,0.100363426,"(14.828638 - x0) * -0.031372834"
7,0.08149245,"(x0 - (x0 * 0.9732503)) ^ 1.0461613"
9,0.08147133,"((x0 - (x0 * 0.9728805)) ^ 1.0421982) + -0.04679934"
10,0.07357706,"exp(x0 * -0.008425769) + (-0.8647512 - (x0 * -0.03192685))"
12,0.07343079,"(exp((-0.008632469 * x0) + 0.045344934) - (x0 * -0.031931244)) + -0.8680626"
13,0.06851044,"(x0 + ((0.8758603 ^ (1.0120078 ^ x0)) + -0.92707765)) - (x0 * 0.96797466)"
15,0.06850534,"(x0 + ((0.88032746 ^ ((1.0120078 ^ x0) + 0.10122314)) + -0.92707765)) - (x0 * 0.96797466)"
16,0.05372174,"((0.0161084 ^ exp(x0 + (x0 - (x0 ^ 1.1104124)))) + x0) - (0.97037655 * x0)"
18,0.044613488,"x0 + ((((0.07474512 ^ exp((x0 + x0) - (x0 ^ 1.1112299))) + -0.22847737) - x0) * 0.9700575)"
20,0.038897295,"(((-0.22847795 - x0) * 0.9700579) + x0) + (0.24394573 ^ (exp(x0 + (x0 - (x0 ^ 1.1112586))) ^ 0.15698107))"
22,0.038866304,"(((0.15697955 ^ (exp(((x0 + x0) - 1.8699111) - (x0 ^ 1.1112494)) ^ 0.15697955)) + x0) + -0.21839637) - (x0 * 0.97006243)"
24,0.038832936,"x0 + (((-0.21839638 - x0) * 0.97007966) + (0.15697955 ^ (exp(((x0 - 0.74008924) + x0) - ((x0 ^ 1.1112591) + 0.97006243)) ^ 0.15697955)))"
25,0.0382963,"(x0 + (0.96987027 * ((exp((x0 * -0.011761437) + -0.6908645) - x0) + (0.038345005 ^ exp(x0 + (x0 - (x0 ^ 1.1112957))))))) + -0.3551122"
27,0.033865474,"((x0 + exp((x0 * -0.007861758) - 0.7809654)) + (0.05647978 ^ exp(((x0 + x0) - (x0 ^ 1.1120577)) * 0.16673748))) + (-0.372413 - (x0 * 0.9698632))"
29,0.033865035,"(exp(((x0 * 0.9698757) * -0.008475981) - 0.7809654) + (x0 + (0.056479786 ^ exp(((x0 - (x0 ^ 1.112041)) + x0) * 0.16673748)))) + (-0.372413 - (x0 * 0.9698757))"
30,0.033799607,"(((x0 + exp((x0 * -0.007861758) - 0.7809654)) + (0.05647978 ^ exp(0.16673748 * ((x0 + x0) - (x0 ^ 1.1120577))))) + ((-0.372413 - x0) * 0.9698632)) - exp(-3.905384)"
