Complexity,Loss,Equation
1,16331.004,"90.47408"
3,11800.312,"x0 * 0.18184632"
4,11783.644,"exp(x0 ^ 0.24014646)"
5,11606.071,"(x0 * 0.22047375) + -27.710638"
7,11236.245,"195.71532 ^ (195.71532 ^ (-0.99360394 ^ x0))"
9,11231.293,"(193.67305 ^ (195.71532 ^ (-0.99360394 ^ x0))) - -2.3454971"
11,11223.888,"(195.71527 ^ ((x0 + 197.86163) ^ (-0.9933583 ^ x0))) + 3.7792816"
12,11008.332,"(x0 * (x0 * 1.2235918e-6)) * (x0 - exp(x0 ^ 0.2764828))"
14,11006.981,"(exp(x0 ^ 0.2764828) - x0) * ((-1.2276167e-6 * (x0 * x0)) - -0.004467001)"
15,10872.616,"x0 * (((((x0 + (x0 * 2.2928643e-7)) - x0) * -1.4401175) - -0.0005102562) * x0)"
17,10594.654,"((x0 * x0) * ((((x0 + (x0 * 1.1283031e-7)) - x0) * -2.3411636) - -0.0004737577)) + -4.8254924"
19,10051.795,"(((x0 + (x0 * 1.2190696e-7)) - x0) * ((-0.005916207 - (x0 * -5.221468e-6)) * (x0 * -1677.2894))) * x0"
21,9979.915,"(((x0 + (x0 * 1.2187893e-7)) - x0) * ((-323.4395 * (x0 * x0)) * (-0.031827338 - (x0 * -2.7797441e-5)))) - 9.117528"
23,9969.344,"((((x0 + (x0 * 1.2187893e-7)) - x0) * (x0 * -323.4395)) * ((x0 + 2.730965) * (-0.031827338 - (x0 * -2.7797441e-5)))) - 6.6224394"
25,9943.042,"((((x0 + ((x0 * 1.2187893e-7) - x0)) * -323.4395) * (x0 * x0)) * (-0.031827338 - ((x0 * -2.7797441e-5) + (x0 * 3.2111947e-7)))) - 9.117528"
27,9942.242,"((((x0 + (x0 * 1.2187893e-7)) - x0) * (-323.4395 * ((-1.2163287 + x0) * x0))) * (-0.031827338 - ((x0 * -2.7797441e-5) + (x0 * 3.2111947e-7)))) - 9.117528"
28,9908.469,"((((((x0 + (x0 * 1.2186227e-7)) - x0) * x0) * 161.0539) + (-0.031827338 - 0.63669664)) * exp(2.318351e-5)) * ((-0.031827338 - (x0 * -2.7611328e-5)) * (-2.0082688 * x0))"
30,9908.464,"((((((x0 + (x0 * 1.2186227e-7)) - x0) * (x0 * 161.0539)) + -0.031827338) - 0.63669664) * exp(2.318351e-5)) * ((-0.031827338 - (x0 * -2.7611328e-5)) * ((-2.0082688 * x0) - 1.3709066))"
