Complexity,Loss,Equation
1,59.645054,"13.388136"
3,0.5947493,"x0 * 0.023170562"
5,0.58746445,"(x0 - -7.3940063) * 0.022950362"
6,0.37545115,"exp(x0 ^ 0.23080081) * 0.16913001"
8,0.33882493,"exp((x0 ^ 0.34093854) * 0.30435002) - 1.3379045"
10,0.26851884,"exp((x0 ^ 0.377725) * (0.23223674 - (0.9739816 ^ x0)))"
12,0.25911155,"exp((x0 ^ 0.37972197) * (0.2283148 - (0.97528356 ^ x0))) + 0.11163907"
13,0.25902832,"exp((x0 ^ 0.37972197) * (0.2283148 - (exp(-0.025444288) ^ x0))) + 0.1136648"
14,0.25666067,"exp((0.2283148 - ((0.97528356 ^ x0) * 0.78638834)) * ((x0 ^ 0.37972197) + 0.022993166))"
15,0.17742465,"exp(exp((((x0 ^ 0.48473808) * 0.027098766) - (0.98747456 ^ x0)) - -0.39590362)) + -1.6624237"
17,0.17419736,"exp(exp((((x0 ^ 0.48473808) * 0.027098764) - (0.98747456 ^ (0.9577129 * x0))) - -0.39590362)) + -1.6149775"
19,0.17401317,"exp(exp((((x0 ^ 0.48473808) * 0.027098764) - (0.98747456 ^ (0.95196193 * (0.59890574 + x0)))) - -0.39590362)) + -1.6149775"
21,0.17073183,"exp(exp((((((x0 + 1.0357034) ^ 0.4858014) + -0.09073292) * 0.027000729) - (0.9874658 ^ (x0 * 0.96849465))) - -0.39591444)) + -1.6149774"
23,0.15710811,"exp(exp((((x0 ^ 0.4817253) * 0.029107857) - ((0.9879072 ^ x0) * 1.4040705)) - -0.3953237) - ((0.95686644 ^ x0) - -0.17598672)) - 0.39926797"
25,0.15694958,"exp(exp((((x0 ^ 0.4817253) * 0.029107857) - ((0.9879072 ^ (x0 - 1.6745683)) * 1.4040705)) - -0.3953237) - ((0.95686644 ^ x0) - -0.17598672)) - 0.39926797"
26,0.15694927,"exp(exp((((x0 ^ 0.4817253) * 0.029107857) - ((0.9879072 ^ (x0 - exp(0.4817253))) * 1.4040705)) - -0.3953237) - ((0.95686644 ^ x0) - -0.17598672)) - 0.39926797"
27,0.15691507,"exp(exp(((((x0 + -0.26168656) ^ 0.4817253) * 0.029107857) - (1.4040705 * (0.9879072 ^ (x0 + -1.2132695)))) - -0.3953237) - ((0.95686644 ^ x0) - -0.17598672)) - 0.39926797"
