Complexity,Loss,Equation
1,75698.945,"x0"
3,14131.654,"x0 ^ 1.122492"
4,3183.6318,"exp(x0 ^ 0.3225867)"
6,3158.29,"exp(x0 ^ 0.32281226) + -6.6437154"
8,3074.3528,"exp(x0 ^ (0.32233107 + (-0.95776343 ^ x0)))"
9,3015.8782,"exp(x0 ^ (0.32253933 - exp(-1.0129855 ^ x0)))"
10,3011.8071,"exp((x0 + 9.031965) ^ ((-0.96170163 ^ x0) + 0.3211986))"
11,2974.5562,"exp((x0 + 10.168728) ^ (0.32106516 - exp(-1.0122937 ^ x0)))"
13,2967.9287,"exp((x0 + 9.231023) ^ (0.32104462 - exp(-1.0119526 ^ x0))) + 4.4156036"
15,2967.9243,"(exp((x0 + 9.231023) ^ (0.32104462 - exp(-1.0119526 ^ x0))) + 4.4156036) + -0.10717338"
17,2967.1467,"4.212045 + exp((9.284847 + x0) ^ ((0.32104462 - exp(-1.0119526 ^ x0)) - (0.8589143 ^ x0)))"
19,2966.3135,"(exp((x0 + 9.284847) ^ (0.32104462 - exp(-1.0119526 ^ x0))) - -4.344071) - ((0.8589143 ^ x0) * 9.0821495)"
20,2965.715,"exp(((x0 + 8.891408) ^ (0.32104462 - exp(-1.0119526 ^ x0))) - exp((x0 - 29.298227) * -0.3788692)) + 5.689849"
21,2965.268,"exp((x0 + 9.284847) ^ (0.32104462 - exp(-1.0119526 ^ x0))) - (-4.344071 + ((0.8589143 ^ (x0 - 9.0821495)) * x0))"
22,2965.1997,"exp(((9.579868 + (x0 - 0.6884606)) ^ (0.3210446 - exp(-1.0119526 ^ x0))) - exp(28.821392 - (x0 * 0.6884606))) + 5.5096908"
23,2965.0352,"(exp((x0 + 9.284847) ^ (0.32104462 - exp(-1.0119526 ^ x0))) - -4.344071) + ((-0.90052027 - x0) * (0.8589143 ^ (x0 - 9.0821495)))"
25,2920.5217,"exp((x0 ^ 4.1941495) ^ (((-0.9637294 ^ x0) + (x0 ^ -0.85182536)) * 5.474669)) + exp((2.2749238 + x0) ^ (0.32166517 + (-0.9651632 ^ x0)))"
26,2920.4883,"exp((x0 ^ 4.1941495) ^ (((-0.9637294 ^ x0) + (x0 ^ -0.85182536)) * 5.474669)) + exp((exp(0.9817191) + x0) ^ (0.32166517 + (-0.9651632 ^ x0)))"
27,2918.2021,"exp((x0 + 3.0432034) ^ ((-0.9651632 ^ x0) + 0.32166517)) + (exp((x0 ^ 4.1941495) ^ (((-0.9637294 ^ x0) + (x0 ^ -0.85182536)) * 5.474669)) - 2.183381)"
