Complexity,Loss,Equation
1,69.70567,"14.021324"
3,0.50373614,"x0 * 0.024052816"
5,0.4812518,"(x0 * 0.022163853) ^ 1.0277642"
7,0.4777739,"(x0 - (x0 ^ 0.5349781)) * 0.025184384"
9,0.47576234,"((x0 * 0.024846464) + 1.242037) - (x0 ^ 0.09466151)"
10,0.47160557,"((x0 * 0.024841055) + exp(x0 * -0.008668234)) + -0.6368739"
11,0.32591555,"((0.009175537 ^ x0) ^ (0.87229764 ^ x0)) + (x0 * 0.023318363)"
12,0.2995149,"(x0 * 0.025122656) - (exp(x0 * -0.13591953) ^ (0.89630073 ^ x0))"
14,0.16158524,"((x0 * 0.024082217) + 0.75414413) - (exp(x0 * -0.1365679) ^ (0.89630073 ^ x0))"
16,0.07638366,"((x0 * 0.023954334) - ((exp(x0 * -0.13591982) ^ (0.8963339 ^ x0)) * 1.7201148)) + 1.413562"
18,0.07294653,"1.6215552 + (((x0 * 1.0238333) - (1.8653502 * (exp(x0 * -0.13491982) ^ (0.8954787 ^ x0)))) - x0)"
19,0.07294293,"(((1.0238268 * x0) + 1.6215508) - (1.859671 * ((1.1452397 ^ (0.3450898 - x0)) ^ (0.8954173 ^ x0)))) - x0"
20,0.0720633,"(x0 * 1.0238333) + ((1.6215552 - (((exp(x0 * -0.13553868) ^ 0.5889037) ^ (0.8954787 ^ x0)) * 1.8653502)) - x0)"
22,0.07162103,"(1.0238333 * x0) + ((1.6215552 - (((exp(-0.13661243 * x0) * (x0 ^ 0.37725)) ^ (0.8954787 ^ x0)) * 1.8653502)) - x0)"
23,0.06804088,"(((x0 + 0.2539766) * 1.0216763) + (((0.85554713 - ((1.1456499 ^ (1.0275044 - x0)) ^ (0.895558 ^ x0))) * 1.6973951) - x0)) ^ 1.0275044"
25,0.06564272,"((((x0 + 0.24957061) * 1.0219923) + ((0.83435524 - (((1.1464206 ^ (0.83344936 - x0)) ^ (0.89544994 ^ x0)) ^ 0.35727704)) * 1.6978647)) - x0) ^ 1.0235125"
28,0.065423965,"((1.0219923 * ((1.6978647 * (0.83435524 - ((1.1464206 ^ (0.83344936 - x0)) ^ (0.89544994 ^ (x0 ^ exp(0.89572763 ^ x0)))))) + (x0 + 0.24957061))) - x0) ^ 1.0235125"
30,0.06540958,"(((((0.83435524 - ((1.1464206 ^ (0.83344936 - x0)) ^ (0.89544994 ^ ((x0 + 0.24957061) ^ exp(0.89572763 ^ x0))))) * 1.6978647) + (x0 + 0.24957061)) * 1.0219923) - x0) ^ 1.0235125"
