Complexity,Loss,Equation
1,1.3185297,"2.054607"
3,0.0058417493,"x0 * 0.00091276"
5,0.0032571491,"(x0 ^ 0.9415097) * 0.0014616546"
7,0.0027522773,"((x0 * -2.4921817e-8) + 0.0009962181) * x0"
8,0.0027195963,"(exp(x0 ^ 0.22761099) - x0) * -0.0010992234"
9,0.0027109997,"(x0 * ((x0 * -3.0384946e-8) - -0.0010247742)) + -0.032331847"
11,0.0026970042,"-0.022244614 - ((x0 - ((x0 * x0) * 2.8200155e-5)) * -0.0010162196)"
13,0.0026914373,"-0.017255316 - ((x0 + ((x0 ^ 1.2226559) * (x0 * -3.858536e-6))) * -0.0009979042)"
15,0.002691023,"-0.016055735 - ((x0 + ((x0 * (x0 - (x0 ^ 1.214369))) * 4.8721013e-6)) * -0.0009953638)"
17,0.0026910144,"-0.016055735 - ((x0 + (x0 * (((x0 - 4.8531995) - (x0 ^ 1.214369)) * 4.87272e-6))) * -0.000995364)"
18,0.0025940605,"(x0 * (exp((x0 ^ 0.4757021) - 65.164314) - -0.0010388255)) + (-0.038900416 - (3.4478408e-8 * (x0 * x0)))"
20,0.0025867221,"-0.03904641 + (((exp((x0 ^ 0.47562256) - 65.16431) - -0.0010297564) * (9.835842 + x0)) - ((x0 * x0) * 3.2748936e-8))"
22,0.0025862432,"(-0.03904641 - ((3.2797235e-8 * x0) * x0)) + ((exp(((x0 + 9.989405) ^ 0.47562256) - 65.16431) - -0.0010297564) * (x0 + 9.989405))"
24,0.0025862376,"((exp(((x0 + 9.871253) ^ 0.47562256) - 65.16431) - -0.0010297564) * (x0 + 9.989405)) + (-0.03904641 - ((x0 + -0.6271023) * (x0 * 3.2797235e-8)))"
26,0.002585438,"-0.039046433 + ((((11.050561 + ((x0 + -0.81272125) ^ -1.9238899)) + x0) * (exp((x0 ^ 0.47568393) - 65.16431) - -0.001028629)) - (x0 * (x0 * 3.256543e-8)))"
28,0.0025839703,"(-0.039046433 - ((x0 * 3.2578356e-8) * x0)) + (((x0 + (((x0 ^ 0.12437313) + -0.81272125) ^ -1.9833765)) + 11.050561) * (exp((x0 ^ 0.47568393) - 65.16431) - -0.0010286288))"
30,0.0025838877,"(-0.039046433 - (x0 * (x0 * 3.2578356e-8))) + ((((((x0 ^ 0.12437313) + -0.81272125) ^ -1.9833765) + 11.050561) + x0) * (exp(((x0 + 2.471222) ^ 0.47568393) - 65.16431) - -0.0010286288))"
