Complexity,Loss,Equation
1,0.8296241,"1.5773816"
2,0.82962406,"exp(0.4557782)"
3,0.0015726893,"x0 * 0.00066069065"
5,0.001554954,"(x0 ^ 0.9924536) * 0.0007025408"
7,0.0015435128,"((x0 ^ 0.9850725) * 0.000750099) + -0.011806859"
9,0.001529999,"(x0 ^ ((x0 + 0.99246216) - x0)) * 0.0007021328"
11,0.0015148692,"((x0 ^ (x0 + (0.9827011 - x0))) * 0.0007650021) + -0.013289964"
13,0.0014849732,"(x0 ^ (x0 + (x0 + ((0.98758256 - x0) - x0)))) * 0.0007302782"
15,0.0014287062,"((((((x0 + x0) * 0.011206043) - x0) + x0) * 44.6481) - x0) + 0.0098418"
17,0.0014069555,"(-3.731949 + (44.648117 * (((0.083766595 - x0) + ((x0 + x0) * 0.011206044)) + x0))) - x0"
21,0.0014056928,"(-3.731949 + ((x0 + ((((0.083766595 - x0) + ((x0 + x0) * 0.011206044)) + x0) * 44.648117)) - x0)) - x0"
23,0.0014043227,"(x0 + (((x0 + ((x0 * 0.022412088) + (0.08377014 - x0))) * 44.64812) + (((-3.731949 - x0) - x0) - x0))) + x0"
25,0.0014018336,"((((((-3.731949 - x0) - x0) - x0) + ((x0 + ((0.08377014 - x0) + (x0 * 0.022412088))) * 44.64812)) + x0) + x0) ^ 0.99867547"
27,0.0013999325,"(((-2.6707046 - x0) + (((x0 + ((x0 + (((x0 + x0) * 0.011206044) + (0.083766595 - x0))) * 44.648117)) + x0) + -1.0612445)) - x0) - x0"
29,0.0013997484,"((((-2.6707046 - x0) + ((x0 + (((x0 + ((0.011206044 * (x0 + x0)) + (0.083766595 - x0))) * 44.648117) + x0)) + -1.0612445)) - x0) - x0) + -0.00038445584"
