Complexity,Loss,Equation
1,7456.4526,"95.741196"
3,1185.9587,"x0 * 0.17298992"
4,882.7986,"exp(x0 ^ 0.2384763)"
5,216.19829,"x0 * (x0 * 0.00018478249)"
7,215.39732,"((x0 * 0.00017978341) + 0.004982836) * x0"
9,188.13266,"x0 * ((x0 * -157.70367) + (x0 * 157.70386))"
11,185.2368,"((x0 * -157.70367) + (x0 * 157.70386)) * (x0 + 12.838609)"
13,156.0466,"((((x0 + x0) * -1.8540676) + (x0 * 3.7081392)) * x0) * 45.763622"
15,155.64514,"(((x0 * 3.7081392) + ((x0 + x0) * -1.8540676)) * (x0 + 14.439061)) * 45.133755"
17,141.59323,"((((x0 + x0) * -1.8540676) + (((x0 * 3.7081392) + x0) - x0)) * x0) * 45.765694"
19,140.97107,"(((x0 + x0) * -1.8540676) + ((x0 + (x0 * 3.7081392)) - x0)) * ((x0 + 31.568125) * 44.391758)"
21,140.74673,"((x0 + 36.952625) * ((((x0 + x0) * -1.8540676) + (((x0 * 3.7081392) + x0) - x0)) * 44.391758)) + -0.9046516"
23,140.74672,"(44.391758 * (((x0 - -0.2664137) + 36.952625) * ((((x0 * 3.7081392) + x0) - x0) + ((x0 + x0) * -1.8540676)))) + -0.9419103"
25,140.7227,"(((x0 + 37.328884) * ((((x0 + x0) * -1.8540676) + ((x0 + (x0 * 3.7081392)) - x0)) * 44.391758)) - (-0.9774827 ^ x0)) + -0.9419103"
27,140.71956,"((((x0 + 37.554012) * ((((x0 + x0) * -1.8540676) + ((x0 * 3.7081392) + x0)) - x0)) * 44.391758) - ((-0.9774827 ^ x0) + -0.030346142)) - 1.0278685"
28,140.71942,"((((exp(-1.4910796) + (37.328884 + x0)) * (((-1.8540676 * (x0 + x0)) + (x0 + (x0 * 3.7081392))) - x0)) * 44.391758) - (-0.9774827 ^ x0)) - 1.0278685"
