Complexity,Loss,Equation
1,18442.016,"145.62125"
3,3313.658,"x0 * 0.26540318"
4,1797.621,"exp(x0 ^ 0.25036582)"
5,590.0823,"(x0 ^ 2.070204) * 0.00017527118"
7,590.0699,"((x0 ^ 2.070204) * 0.0001753292) - 0.091384634"
9,556.801,"((x0 - (x0 * 0.99999833)) * 170.71391) * x0"
11,552.4204,"(((x0 - (x0 * 0.99999833)) * 172.08055) * x0) - 2.6034148"
13,523.62494,"(x0 * 265.09976) * ((x0 - (x0 * 1.0000652)) - (x0 * -6.628307e-5))"
15,454.73383,"x0 * ((((-9.960601e-6 - x0) - (x0 * -0.026893625)) + (x0 * 0.97310704)) * 426.21637)"
17,447.2054,"(((x0 * 0.97310704) + ((8.945521e-6 - x0) - (x0 * -0.026893625))) * (x0 * 338.34375)) ^ 1.0422306"
19,446.99335,"(((x0 * 337.5151) * (((-7.287114e-6 - x0) - (x0 * -0.026893625)) + (x0 * 0.97310704))) + 0.5633619) ^ 1.0422306"
21,446.95334,"((((x0 * ((x0 * 0.97310704) + ((-7.287114e-6 - x0) - (x0 * -0.026893625)))) * 336.935) + 1.0874166) ^ 1.0422306) - 0.37216777"
24,446.8533,"(((x0 * (((x0 * 0.97310704) + ((8.945521e-6 - x0) - (x0 * -0.026893625))) * exp(x0 ^ -0.5767296))) * 265.08655) ^ 1.0422306) * 1.2647177"
26,446.85135,"(((((exp(x0 ^ -0.57476115) * ((0.97310704 * x0) + ((8.945521e-6 - x0) - (x0 * -0.026893625)))) * 265.08655) * x0) ^ 1.0422306) * 1.2647177) - 0.07064706"
28,446.84555,"((exp(x0 ^ -0.57476115) * (((((x0 * 0.97310704) + ((8.945521e-6 - x0) - (x0 * -0.026893625))) * (x0 + 0.96871734)) * 265.08655) ^ 1.0422306)) - 0.097995915) * 1.2647177"
29,446.8398,"(1.2647177 - exp(x0 * -0.026893625)) * ((((exp(x0 ^ -0.5767296) * ((x0 * 0.97310704) + ((8.945521e-6 - x0) - (x0 * -0.026893625)))) * 265.08655) * x0) ^ 1.0422306)"
