Complexity,Loss,Equation
1,80.304306,"17.240335"
3,3.7866657,"x0 * 0.010964289"
5,1.4369872,"(x0 ^ 0.45712638) + -9.618356"
6,1.0355498,"exp(x0 ^ 0.16163254) + -8.040869"
7,0.6380983,"x0 * ((x0 * -1.7006873e-6) + 0.014862149)"
9,0.4322413,"-1.3542496 - (((x0 * 2.1839599e-6) - 0.016634589) * x0)"
11,0.43222913,"(-1.3510097 + (((-2.1813983e-6 * x0) + 1.016626) * x0)) - x0"
12,0.34951943,"(exp((x0 * -0.011499998) + 2.294431) + (x0 ^ 0.46469173)) + -11.450389"
14,0.2904649,"((x0 ^ 0.33765173) + (exp(1.5541493 + (x0 * -0.009406901)) + -6.3767786)) * 3.4480698"
16,0.2810145,"(exp((x0 * -0.00993452) + 1.5228273) + (((x0 + 2.0114143) ^ 0.33291087) + -6.234422)) * 3.6156292"
18,0.27341765,"(((0.7251284 ^ x0) + ((x0 ^ 0.3331136) + exp((x0 * -0.009855059) + 1.5280459))) + -6.243308) * 3.6137228"
19,0.26572713,"x0 ^ ((x0 + 1.4295694) - (exp(exp(2.7878046 - (x0 ^ ((x0 - -0.25358504) - x0)))) + x0))"
21,0.25956857,"(x0 ^ ((x0 + 1.4283749) - (exp(exp(2.8698795 - (x0 ^ ((x0 - -0.2545605) - x0)))) + x0))) + 0.29505432"
22,0.25951758,"(x0 ^ ((x0 + 1.4283749) - (exp(exp(2.8698795 - (x0 ^ ((x0 - -0.2545605) - x0)))) + x0))) + exp(-1.2732842)"
23,0.25437987,"((0.069681 + x0) ^ ((x0 + 1.4283749) - (exp(exp(2.8698795 - (x0 ^ ((x0 - -0.2545605) - x0)))) + x0))) + 0.29505432"
25,0.25381988,"(x0 ^ ((1.4266875 + x0) - (exp(exp(2.9738934 - (x0 ^ ((x0 - -0.2570039) - x0)))) + x0))) - ((x0 ^ -0.45048648) + -0.5442104)"
27,0.2528547,"(x0 ^ ((x0 + 1.4266875) - (exp(exp(2.9738934 - (x0 ^ ((x0 - -0.2570039) - x0)))) + x0))) - (-0.5442104 + ((-0.6343734 + x0) ^ -0.4398007))"
29,0.25245482,"(x0 ^ ((x0 + 1.4266875) - (x0 + exp(exp(2.9738934 - ((x0 - -0.25445178) ^ ((x0 - -0.2570039) - x0))))))) - (((x0 - 0.6198665) ^ -0.4398007) + -0.5442104)"
