Complexity,Loss,Equation
1,5.1250052,"4.0273395"
3,0.009699711,"x0 * 0.001912133"
5,0.006315198,"(x0 * 0.0018704982) + 0.11618673"
7,0.0062644286,"((x0 ^ 1.0173814) * 0.0016100928) + 0.16913366"
9,0.0059232386,"(x0 * ((x0 * 1.5109233e-8) + 0.0018073062)) + 0.16018154"
10,0.005821035,"((x0 * 0.0018633606) + 0.13630189) ^ exp(0.99002355 ^ x0)"
11,0.005816119,"(0.13630189 + (x0 * 0.0018633606)) ^ exp(exp(-0.009452941) ^ x0)"
12,0.0056998148,"(0.13630189 + (0.0018633606 * x0)) ^ exp(0.989863 ^ (0.4028945 * x0))"
14,0.0053778924,"(0.1271444 + (x0 * 0.0018663346)) ^ exp(0.18364893 ^ (0.40410483 + (x0 * 0.0018663346)))"
15,0.004769323,"(x0 * ((x0 * 2.8771549e-8) + 0.0017391798)) + (0.23131952 - (0.35325626 ^ (1.0050529 ^ x0)))"
16,0.003981487,"(x0 * ((4.860837e-8 * x0) + 0.0016337696)) + exp(-1.0408564 - (0.9472702 ^ (1.0062062 ^ x0)))"
17,0.0035531546,"((((x0 * 4.6842107e-8) + 0.0016417913) * x0) + 0.34728593) - ((0.92229766 ^ (1.0062529 ^ x0)) * 0.33934993)"
19,0.003549904,"(((x0 * 1.3635325e-7) + 0.0048426776) * (x0 * 0.33935)) + (0.34728593 - ((0.9267749 ^ (1.0062538 ^ x0)) * 0.33499777))"
21,0.003546234,"((((x0 * 1.3635325e-7) + 0.0048426776) * (x0 * 0.33935)) + 0.34728593) - ((0.92229766 ^ ((1.0062538 ^ x0) ^ 0.9630291)) * 0.33499768)"
23,0.0035429408,"(((x0 * 1.3802894e-7) + 0.0048373393) * (x0 * 0.33934993)) + (0.3472859 - ((0.92229766 ^ ((1.0062321 ^ x0) - (0.98312694 ^ x0))) * 0.33934993))"
25,0.0035415064,"(0.3472859 - (0.33934993 * (0.92229766 ^ ((1.0062321 ^ x0) - (0.98312694 ^ x0))))) + ((x0 + 0.6495698) * (0.33934993 * ((x0 * 1.3802894e-7) + 0.0048373393)))"
27,0.003538338,"(0.34728593 - (((0.92229766 ^ (1.0062525 ^ (x0 * 0.9532107))) ^ (0.0018770032 ^ (0.9532107 ^ x0))) * 0.33934993)) + (((x0 * 1.3635325e-7) + 0.0048421314) * (x0 * 0.33935))"
29,0.003533425,"(((x0 * 1.3635325e-7) + 0.0048421314) * (x0 * 0.33935)) + (0.34728593 - (((0.92229766 ^ (1.0062525 ^ (x0 * 0.9532107))) ^ ((0.0048421314 ^ (0.9532107 ^ x0)) * 1.0695835)) * 0.33934993))"
