Complexity,Loss,Equation
1,122.405685,"19.26182"
3,0.12289458,"x0 * 0.02052875"
5,0.11381659,"(x0 * 0.020376964) + 0.18985271"
7,0.101979144,"((x0 ^ 1.0299503) * 0.01617949) + 0.56641275"
9,0.101978056,"(((x0 ^ 1.0285748) * 0.016354471) + 1.327216) - 0.7841027"
10,0.09821556,"((x0 ^ 1.0505704) * 0.013720421) + exp(-0.9919252 ^ x0)"
11,0.096382104,"(((x0 ^ 1.0504467) * 0.013735413) + 0.95751846) - (0.98597443 ^ x0)"
13,0.09511365,"(((x0 ^ 1.0506773) * 0.01373388) + 0.92929494) - (0.68779075 ^ (1.0118462 ^ x0))"
14,0.095085725,"0.9306949 + (((x0 ^ 1.0508316) * 0.013717737) - (0.7056538 ^ exp(0.012394184 * x0)))"
16,0.09508352,"(((x0 ^ 1.0508337) * 0.013717841) - (0.6953906 ^ exp((x0 + -3.6484718) * 0.01256516))) + 0.9301357"
17,0.09500859,"(0.9309824 - (0.678438 ^ (((-0.56206656 ^ x0) + 1.0117303) ^ x0))) + ((x0 ^ 1.0504683) * 0.013753756)"
18,0.094717085,"exp(-0.06808419 - (((0.8836906 ^ x0) + 0.8836906) ^ (1.0191797 ^ x0))) + ((x0 ^ 1.0505484) * 0.013743916)"
20,0.0946937,"exp((-0.06839542 - (0.88378507 ^ (1.0189221 ^ x0))) - (0.88378507 ^ (x0 - 3.8780794))) + ((x0 ^ 1.0505475) * 0.013745165)"
22,0.09468665,"(((x0 - 0.22782794) ^ 1.0505304) * 0.013748332) + exp((-0.06832914 - (0.88368154 ^ (1.0189922 ^ x0))) - ((0.88368154 ^ x0) * 1.5552355))"
24,0.09468614,"(((x0 - 0.22782794) ^ 1.0505304) * 0.013748332) + exp((-0.06832914 - (0.88368154 ^ (1.0189922 ^ x0))) - ((0.88368154 ^ (x0 ^ 0.98326784)) * 1.5071526))"
26,0.09468535,"exp(-0.068491675 - ((0.8837849 ^ (1.0189956 ^ x0)) - ((-0.20465268 ^ x0) - (0.8969901 ^ (x0 - 2.3972027))))) + (((x0 + -0.20465268) ^ 1.0505364) * 0.013747456)"
28,0.094620846,"(((x0 + (0.8837849 ^ ((1.0189956 ^ x0) ^ 0.17968))) ^ 1.0505346) * 0.013744683) + exp((-0.068491675 - (0.8837849 ^ ((1.0189956 ^ x0) - 0.49651843))) - (0.8969901 ^ x0))"
30,0.0946089,"exp((-0.068491675 - (0.8837849 ^ ((1.0189956 ^ x0) - 0.49651843))) - (0.8969901 ^ (x0 - 1.0189956))) + (((x0 + (0.8837849 ^ ((1.0189956 ^ x0) ^ 0.17968))) ^ 1.0505346) * 0.013744683)"
