Complexity,Loss,Equation
1,51235.707,"220.09898"
3,39399.13,"x0 ^ 0.91656667"
5,39263.72,"(-61.92785 - x0) * -0.52654"
7,38878.918,"x0 ^ (0.91581225 + (0.97109455 ^ x0))"
8,38814.438,"(x0 ^ 0.91581225) ^ exp(0.97109455 ^ x0)"
9,38731.59,"(((0.9529844 ^ x0) * 16.195007) - -0.58801633) * x0"
11,38626.42,"(-0.60410094 - ((0.9257036 ^ x0) * x0)) * (-2.6140382 - x0)"
13,37081.203,"(12.605914 - x0) * (-0.614054 - (((0.06993957 ^ x0) ^ 0.0047842227) * x0))"
15,36999.953,"(-0.60410094 - (x0 * ((0.05459807 ^ x0) ^ (x0 ^ -1.693832)))) * (13.187881 - x0)"
17,36926.734,"((15.437313 - x0) * (-0.5910224 - (x0 * ((0.042330526 ^ x0) ^ (x0 ^ -1.8656458))))) + 10.3047905"
19,36922.883,"(((15.437313 - x0) * (-0.5910224 - (x0 * ((0.042330526 ^ x0) ^ (x0 ^ -1.8656458))))) + 10.3047905) - -1.9987966"
21,36913.457,"((-2.7644987 - (x0 + -19.922422)) * (-0.5715482 - ((x0 - 1.2823308) * ((11.102245 ^ (x0 * -1.2328347)) ^ 3.8109135e-7)))) - -20.381498"
25,36865.23,"22.457537 - ((-0.5715482 - ((((x0 - -0.88422364) - x0) ^ (1.1625304 - x0)) * ((11.957586 ^ (x0 * -1.2328347)) ^ 2.2274187e-9))) * (x0 + -19.922422))"
27,36855.676,"((-1.674643 - (x0 + -19.922422)) * (-0.5715482 - (((11.738535 ^ (x0 * -1.2328347)) ^ 2.2274187e-9) * (((x0 - -0.88422364) - x0) ^ (2.462877 - x0))))) - -21.539488"
