Complexity,Loss,Equation
1,99582.914,"338.46164"
3,7918.6733,"x0 ^ 1.3453884"
4,1939.272,"exp(x0 ^ 0.38672003)"
5,1781.0723,"(x0 * 0.16567644) ^ 2.1464999"
6,1555.2949,"exp(x0 ^ 0.37287816) * 1.5446527"
8,1554.177,"(exp(x0 ^ 0.37281188) * 1.5504566) - 1.3725181"
10,1547.6046,"exp(x0 ^ (0.37271598 + (-0.80122405 ^ x0))) * 1.552527"
12,1544.7524,"exp(((-0.80122405 ^ x0) * x0) + (x0 ^ 0.37271598)) * 1.552527"
13,589.6768,"(x0 ^ 1.2652177) + (x0 ^ (((0.8944364 ^ x0) * -68051.875) + 1.2053994))"
15,327.5753,"(x0 ^ 1.2726084) + (x0 ^ (((0.7624022 ^ (x0 + -68.48928)) * -67785.07) + 1.1796939))"
17,195.73486,"((x0 ^ 1.3310692) + (x0 ^ (1.1534182 + ((0.60912895 ^ (x0 + -92.05575)) * -67785.08)))) - x0"
19,180.37976,"(((x0 ^ (((0.6041902 ^ (x0 + -92.46178)) * -67785.08) + 1.1483597)) + (x0 ^ 1.3351116)) - x0) + -7.2757215"
21,165.5228,"((((x0 + -36.281834) ^ (((0.58693457 ^ (x0 + -93.016624)) * -67785.08) + 1.22188)) + (x0 ^ 1.3346134)) - x0) - 6.2295694"
24,165.52084,"((((x0 + -36.281834) ^ (1.2218903 + ((0.5869329 ^ (x0 + -93.016624)) * -67785.08))) + (x0 ^ 1.3346691)) - x0) - (exp(1.704304) - -0.85960984)"
25,165.01848,"(((x0 + -36.281834) ^ (((0.5869329 ^ (x0 + -93.016624)) * -67785.08) + 1.2218903)) + ((x0 ^ 1.3346691) - x0)) - (6.4670568 - (0.6619469 ^ x0))"
27,164.75307,"(((-36.32978 + x0) ^ (((0.5871267 ^ (x0 + -93.01463)) * -67785.08) + 1.2230879)) + ((x0 ^ 1.3340343) - x0)) - (5.4101787 - (0.13689467 ^ (x0 - 1.3340343)))"
28,125.132545,"((x0 ^ 1.3317546) + ((x0 ^ (((0.59989417 ^ (x0 + -92.263725)) * -67785.08) + 1.1419568)) - x0)) + exp(((0.81989515 ^ (x0 + -92.764244)) * -67786.945) + 4.3240647)"
30,110.92338,"(((x0 + exp(((0.8370762 ^ (x0 + -89.90985)) * -67785.08) + 4.1936903)) ^ (((0.5978959 ^ (x0 + -92.4331)) * -67785.08) + 1.1395487)) + ((x0 ^ 1.333858) - x0)) + -5.2050242"
