Complexity,Loss,Equation
1,9733.602,"127.53216"
3,1013.3975,"x0 * 0.1476711"
4,774.2513,"exp(x0 ^ 0.23124334)"
5,546.91345,"(x0 * 0.026481451) ^ 1.4788711"
7,542.8646,"((x0 * 0.034745354) ^ 1.3854578) - 6.6345563"
9,539.97064,"(((x0 ^ 0.1302331) * 0.18945195) - 0.33627132) * x0"
13,539.0619,"(6.921692 - (x0 * -0.6547922)) + ((x0 * (x0 ^ -0.12941313)) * -1.2993424)"
14,537.3618,"(((x0 ^ -0.27786833) * (exp(x0 * -0.009273205) + -1.5444762)) - -0.35776168) * x0"
16,537.34424,"(x0 * (((x0 ^ -0.27786833) * (exp(x0 * -0.009273205) + -1.5444762)) - -0.35776168)) + -0.1506485"
18,537.1616,"((((x0 ^ -0.27785587) * -1.544487) + exp((x0 * -0.011469016) - 1.0192502)) * x0) - (x0 * -0.3576923)"
19,536.87463,"x0 + ((x0 - 5.2651615) * ((x0 ^ (x0 + (((-0.078778386 - x0) - x0) + x0))) * -1.5064998))"
21,533.9401,"((x0 ^ (x0 + (((-0.035317626 - x0) - x0) + x0))) * (x0 * -2.559455)) + (5.7332597 - (x0 * -2.1302543))"
23,533.7992,"(((((x0 * 1.2254018) ^ ((x0 + x0) + ((-0.034823697 - x0) - x0))) * x0) * -2.5741773) + 5.125817) - (x0 * -2.1350954)"
27,533.7207,"((((x0 ^ (x0 + (((-0.035317626 - x0) - x0) + x0))) * (x0 * -2.559455)) + 5.7332597) - (x0 * -2.1302543)) - ((0.9430647 ^ x0) * 5.1037607)"
29,533.7187,"((((x0 * -2.559455) * (x0 ^ (x0 + (x0 + ((-0.035317626 - x0) - x0))))) + 5.7332597) - (x0 * -2.1302543)) - ((0.9430647 ^ (x0 - 2.0921602)) * 5.1037607)"
30,533.7186,"((5.7332597 + ((x0 ^ ((x0 + x0) + ((-0.035317626 - x0) - x0))) * (-2.559455 * x0))) - (x0 * -2.1302543)) - ((0.9430647 ^ (x0 - exp(0.5588064))) * 5.1037607)"
