Complexity,Loss,Equation
1,34602.38,"x0"
3,16546.896,"x0 ^ 1.0512502"
4,1997.6115,"exp(x0 ^ 0.30239072)"
5,1366.5043,"(x0 * x0) * 0.0028272881"
7,1340.1138,"(x0 * (x0 * 0.0028589056)) + -7.672419"
8,1330.0886,"(x0 + x0) ^ exp(-0.9938957 ^ x0)"
9,1303.7869,"0.01114042 * ((x0 + -70.39851) * (x0 ^ 0.80472136))"
11,1270.2727,"((x0 * x0) ^ 1.2302331) * ((x0 * -1.6702243e-7) - -0.0002478079)"
13,1270.2719,"((x0 * -1.6702243e-7) - -0.0002478079) * (((x0 * x0) ^ 0.9999998) ^ 1.2302331)"
15,794.13055,"(x0 - (x0 + ((x0 * 2.918881e-7) - 0.0006167841))) * ((x0 * x0) ^ 1.1456559)"
17,791.0921,"((x0 - (x0 + ((2.918881e-7 * x0) - 0.0006167841))) * ((x0 * x0) ^ 1.1456559)) - 1.7552127"
19,778.64075,"((x0 - (x0 + ((x0 * 2.918881e-7) - 0.0006167841))) * (((x0 * x0) * 1.0125924) ^ 1.1450391)) + -4.621947"
21,774.2757,"((((x0 + (1.0034652 ^ x0)) * x0) ^ 1.1450391) * (x0 - (x0 + ((x0 * 2.918881e-7) - 0.0006167841)))) + -3.8367293"
23,773.9858,"((((x0 + ((1.0034652 ^ x0) + 0.6973388)) * x0) ^ 1.1450391) * (x0 - (x0 + ((x0 * 2.918881e-7) - 0.0006167841)))) + -3.8367293"
25,767.4777,"((((x0 + (1.0024793 ^ ((x0 + 0.080621965) ^ 1.0805091))) * x0) ^ 1.1450391) * (x0 - (x0 + ((x0 * 2.918881e-7) - 0.0006167841)))) + -5.851024"
26,765.132,"((((x0 + exp(1.0778368 ^ (1.0024793 ^ (x0 ^ 1.0805091)))) * x0) ^ 1.1450391) * (x0 - (x0 + ((x0 * 2.918881e-7) - 0.0006167841)))) + -4.9017773"
28,764.6083,"((x0 - (x0 + ((2.918881e-7 * x0) - 0.0006167841))) * ((x0 * ((x0 + exp(1.0805091 ^ (1.0024793 ^ (x0 ^ 1.0805091)))) + -0.5546092)) ^ 1.1450391)) + -4.9017773"
30,764.5172,"((x0 - (((2.918881e-7 * x0) - 0.0006167841) + x0)) * ((x0 * ((x0 + exp(1.0805091 ^ (1.0024793 ^ (x0 ^ 1.0805091)))) + (-0.48427576 + -0.3430431))) ^ 1.1450391)) + -4.9017773"
