Complexity,Loss,Equation
1,220305.69,"x0"
3,51732.273,"1.0273557 ^ x0"
4,24479.66,"exp(x0 ^ 0.3489365)"
5,8187.532,"(x0 * 0.02392245) ^ 3.826083"
6,7915.807,"exp(x0 ^ 0.4091946) * 0.06381186"
8,7911.5825,"(x0 + exp(x0 ^ 0.4105661)) * 0.058306094"
10,7909.8857,"((x0 + exp(x0 ^ 0.4105661)) * 0.058306094) + -1.2431192"
11,7908.756,"exp(x0 ^ (0.4085579 - exp(-0.0635406 * x0))) * 0.066057235"
12,7908.632,"(0.05870451 * (x0 + exp((0.08127893 + x0) ^ 0.41044617))) + -1.980932"
13,7899.4,"exp(x0 ^ (0.4085579 - (x0 * exp(x0 * -0.10795725)))) * 0.066057235"
14,6393.2466,"exp((((0.0 ^ (0.61792934 ^ x0)) * 21.73663) + x0) ^ 0.3950834) * 0.10296467"
16,6390.4688,"exp(((((0.0 ^ (0.61792934 ^ x0)) * 21.73663) + -0.18683752) + x0) ^ 0.3950834) * 0.10296467"
18,5066.525,"exp((((0.19778498 * x0) ^ ((0.559413 ^ x0) ^ (0.61792904 ^ x0))) + x0) ^ 0.3834828) * 0.13335437"
20,4999.4507,"(exp((x0 + ((x0 * 0.19970079) ^ ((0.5594191 ^ x0) ^ (0.61792904 ^ x0)))) ^ 0.3832222) * 0.13287811) - 1.4140744"
22,4978.014,"(exp(((x0 + -0.5045073) + ((x0 * 0.19778498) ^ ((0.559413 ^ x0) ^ (0.61792904 ^ x0)))) ^ 0.3834828) * 0.13335437) + -4.065631"
26,4955.273,"(exp((x0 + ((x0 * 0.19823839) ^ ((0.10296467 ^ x0) ^ ((0.61792934 ^ x0) ^ (0.7979304 ^ (x0 - 178.04918)))))) ^ 0.3824627) * 0.13988099) + -9.962184"
