Complexity,Loss,Equation
1,107.43323,"18.258038"
3,0.31734818,"x0 * 0.07511293"
5,0.18334459,"(x0 * 0.08967816) ^ 0.9484618"
11,0.18323414,"(((x0 ^ 0.051466268) * x0) * -0.05742477) + (x0 * 0.15273458)"
13,0.18321535,"(x0 * 0.11008966) + (((x0 - 1.4220408) * (x0 ^ 0.11015952)) * -0.018423311)"
15,0.1299844,"x0 + (((x0 + ((x0 - x0) ^ (0.77141577 ^ x0))) * -0.9252397) + 0.42302036)"
17,0.12787767,"(((((x0 - x0) ^ (0.77143914 ^ x0)) + -0.31611282) + x0) * -1.0645742) + (x0 * 1.1397592)"
19,0.12787554,"((x0 + (((x0 - x0) ^ (0.77120906 ^ x0)) * 0.93905324)) * -1.1336992) + (0.3366808 + (x0 * 1.2088761))"
20,0.12493337,"(exp(0.76136917 ^ x0) * ((-0.9253895 * (((x0 - x0) ^ (0.7710168 ^ x0)) + x0)) + 0.4760939)) + x0"
22,0.12266321,"x0 + ((((x0 + ((x0 - x0) ^ (0.77143735 ^ x0))) * -0.9254494) * exp(0.39506155 ^ (x0 ^ 0.50120896))) + 0.49643576)"
24,0.12254543,"((((((x0 - x0) ^ (0.77084064 ^ x0)) + x0) * (exp(0.34570578 ^ (x0 ^ 0.4760933)) * -0.928363)) + 0.44180927) + x0) * 1.0428027"
25,0.11626098,"((((x0 * 7.1146965e-6) + (-1.28627 - (0.7687365 ^ x0))) * (x0 + ((x0 - x0) ^ (0.7711556 ^ x0)))) + (x0 * 1.3581494)) + 0.6381895"
26,0.11624022,"exp(-0.42263016) + (((((7.1146965e-6 * x0) + -1.28627) - (0.7711556 ^ x0)) * (x0 + ((x0 - x0) ^ (0.7711556 ^ x0)))) + (x0 * 1.3581494))"
27,0.109421216,"(((((x0 - x0) ^ (0.77127016 ^ x0)) + x0) * ((x0 * 8.7119615e-6) + (-1.2868229 - (0.50231725 ^ (x0 ^ 0.52834785))))) + 0.81775856) + (x0 * 1.3575958)"
29,0.10548992,"((x0 + 1.1193211) * 1.3614072) + ((((x0 * 1.2669925e-5) + -1.293029) - (0.53213596 ^ (x0 ^ 0.53032815))) * ((((x0 - x0) ^ (0.7714294 ^ x0)) + x0) + 0.30320296))"
