Complexity,Loss,Equation
1,6.191702,"4.2214737"
3,0.011471756,"x0 * 0.0029523517"
5,0.010126312,"(x0 * 0.002990549) + -0.07322717"
7,0.009774165,"0.003119259 * (x0 - (x0 ^ 0.6150873))"
9,0.009766395,"(x0 + (2.4603994 - (x0 ^ 0.63131124))) * 0.0031382584"
11,0.009766114,"0.0031383114 * ((x0 - ((-0.8083527 + x0) ^ 0.63131595)) + 2.4603994)"
13,0.0097086765,"(x0 * 1.0030125) + ((((0.9963408 ^ x0) * 0.14178115) - 0.11739138) - x0)"
14,0.009708257,"((((exp(-2.019517) * (0.9963408 ^ x0)) + x0) * 1.0030125) - 0.11739138) - x0"
15,0.009707061,"((((((0.9329168 ^ x0) ^ 0.056586385) * 0.14178115) + x0) * 1.0030125) - 0.11739138) - x0"
17,0.00969179,"(1.0030091 * (x0 + (((0.94015676 ^ (1.4967877 ^ (x0 * 0.021500532))) * 0.10964062) - 0.10964062))) - x0"
19,0.009686855,"((x0 * 1.0030097) - 0.0689968) + ((((0.81204915 ^ (1.1386395 ^ (x0 * 0.041465223))) + -0.31602752) * 0.13327037) - x0)"
21,0.009686833,"(((x0 * 1.0030097) - 0.0689968) + (0.13327037 * ((0.81204915 ^ (1.1386395 ^ ((-1.7391824 + x0) * 0.041465223))) + -0.31602752))) - x0"
23,0.009685404,"((((1.023588 ^ (((3.0843167 * x0) + (1.0176941 ^ x0)) * -0.031667322)) + 0.5909466) * 0.11212745) - 0.1879164) + ((3.9637845 + x0) * 0.003008975)"
25,0.009685329,"(((1.023588 ^ ((((x0 + x0) + (1.0176941 ^ x0)) + x0) * -0.031667322)) + 0.5909466) * 0.11212745) + (((3.9637845 + x0) * 0.003008975) - 0.1879164)"
27,0.009685301,"((x0 + 3.9637845) * 0.0030090169) + ((((1.0237387 ^ ((((1.0176624 ^ x0) + x0) + ((x0 + x0) - 8.767379)) * -0.031738076)) + 0.5909434) * 0.112114996) - 0.18794607)"
