Complexity,Loss,Equation
1,3250.7717,"68.79927"
3,668.3442,"x0 * 0.05689185"
5,529.5391,"(x0 ^ 1.4600028) * 0.0017613749"
7,526.5641,"((x0 ^ 1.3488768) * 0.0042811325) - 4.862977"
9,525.3464,"((x0 * 0.007647431) + -1.6361169) * (x0 ^ 0.2825529)"
11,524.10986,"(7.8107443 - (x0 ^ 0.66895914)) + (x0 + (x0 * -0.8643696))"
13,523.9654,"x0 + ((x0 + ((x0 - 3.4603224) * -1.8703884)) - (x0 ^ 0.6577225))"
15,523.92523,"(-1.8689512 * x0) + (x0 + ((7.230321 - ((3.8250344 + x0) ^ 0.6608166)) + x0))"
17,523.92114,"(-1.8689512 * x0) + ((x0 + (7.230321 - ((3.8250344 + x0) ^ 0.6608166))) + (x0 - -0.039141126))"
18,523.4853,"((exp((x0 * -0.013238083) - 1.3310157) + -1.8914571) * x0) + ((x0 + x0) - (x0 ^ 0.605722))"
19,523.10815,"(((x0 + x0) - 2.1722326) + (x0 * -1.9008939)) - ((x0 + x0) ^ (0.5261459 - (0.98649305 ^ x0)))"
21,522.6435,"x0 + ((x0 - ((x0 + x0) ^ (0.5242094 - ((0.9894161 ^ x0) * 0.77383536)))) + ((x0 + 1.635235) * -1.901043))"
23,522.6268,"(x0 + x0) + (((x0 + 2.77755) * -1.9035723) - (((x0 + 8.8226595) + x0) ^ (0.51159227 - (0.97605324 ^ (x0 * 0.4451879)))))"
24,522.5875,"((x0 + x0) + ((x0 * -1.9039748) - ((x0 + x0) ^ (0.5067994 - (0.98880774 ^ x0))))) - exp((x0 ^ -0.90806776) * x0)"
26,522.54425,"((((x0 * -1.9039748) - ((x0 + x0) ^ (0.5067994 - (0.98880774 ^ x0)))) + x0) + x0) - exp((-1.8358567 + x0) * (x0 ^ -0.90806776))"
27,522.4016,"((x0 + 2.77755) * -1.9036267) + ((x0 - ((-0.92573243 ^ x0) * 8.269966)) + (x0 - ((x0 + x0) ^ (0.5116023 - (0.9760335 ^ (x0 * 0.44518757))))))"
29,522.3714,"((x0 - ((-0.92573243 ^ x0) * (x0 + 3.5730524))) + x0) + (((x0 + 2.77755) * -1.9036267) - ((x0 + x0) ^ (0.5116023 - (0.9760335 ^ (x0 * 0.44518757)))))"
