Complexity,Loss,Equation
1,1.9933542,"2.4308145"
3,0.00062650244,"0.0011664486 * x0"
5,0.0006035854,"(x0 * 0.0011698817) + -0.0095597245"
7,0.00060224935,"x0 - ((x0 + 0.010125399) * 0.9988298)"
9,0.00052624824,"((x0 + 0.01820361) - x0) * (x0 * 0.06379203)"
11,0.0005214284,"((x0 + (0.01870711 - x0)) * (x0 - 3.693138)) * 0.062220115"
13,0.0005214176,"((x0 + 0.018702812) - x0) * (((x0 - 3.8214898) * 0.062220126) - -0.016146012)"
14,0.0005214081,"(x0 + (0.01870711 - x0)) * (0.062220115 * (x0 - exp(1.3064765 ^ 0.8980939)))"
15,0.00051929126,"(((x0 + 19.661766) - x0) * ((x0 * 1.0509193) - x0)) - (x0 - -0.001805488)"
17,0.0005105801,"((((x0 + 34.75503) - x0) * ((x0 * 1.0575792) - x0)) + (-0.0070525426 - x0)) - x0"
19,0.00051047077,"(((0.0003339193 - x0) - x0) + -0.007335473) + (((x0 + 34.75503) - x0) * ((x0 * 1.0575792) - x0))"
21,0.00051020616,"((x0 + (((x0 * 1.0575792) - x0) * ((x0 + 34.75503) - x0))) - x0) + ((-0.007335473 - x0) - x0)"
23,0.0005099979,"((x0 + (((34.75503 + x0) - x0) * ((x0 * 1.0575792) - x0))) + (-0.007335473 + ((0.0003339193 - x0) - x0))) - x0"
25,0.0005099548,"((((x0 + x0) + (((34.75503 + x0) - x0) * ((x0 * 1.0575792) - x0))) - x0) + ((-0.007335473 - x0) - x0)) - x0"
27,0.00050966366,"(((x0 + x0) + (((x0 + 34.75503) - x0) * ((x0 * 1.0575792) - x0))) + ((0.0007810522 - x0) + ((-0.007335473 - x0) - x0))) - x0"
