Complexity,Loss,Equation
1,0.008318925,"0.15643975"
3,2.0226898e-5,"x0 * 6.27861e-5"
5,1.9926034e-5,"-0.0010960524 - (x0 * -6.311543e-5)"
7,1.9873942e-5,"(x0 * -0.99993676) + (x0 - 0.0013564616)"
9,1.9502173e-5,"(-0.0021788408 + (x0 * 5.292252)) - (5.2921886 * x0)"
13,1.9255182e-5,"(((x0 + -0.00040687402) + x0) * 2.3307955) - ((x0 * 5.661528) - x0)"
17,1.9187306e-5,"(((x0 + x0) - 0.00035755706) * 1.9457005) + (((x0 - x0) - (x0 * 2.891338)) - x0)"
21,1.9147374e-5,"((3.130398 * (((3.130398 - ((x0 ^ -0.61365074) * x0)) * 6.2359475e-5) + (x0 + x0))) - (x0 * 5.260732)) - x0"
23,1.8826788e-5,"((((((x0 + x0) * 3.7622995) + x0) - (x0 * 6.524545)) - x0) - ((x0 + (0.0004944126 + x0)) - x0)) * 1.1678375"
29,1.882121e-5,"((((((x0 + ((-2.7579474e-5 - x0) + (x0 + x0))) * 3.7622995) + x0) - (x0 * 6.524545)) - x0) - (((x0 + 0.0004944126) + x0) - x0)) * 1.1678375"
