Complexity,Loss,Equation
1,16134.635,"206.83032"
3,6411.7627,"x0 * 2.6860554"
5,6149.1787,"32.579998 - (x0 * -2.3548236)"
7,4141.371,"(4.849554 - (x0 * 0.019556466)) * x0"
9,3266.4827,"(x0 * (7.289069 - (x0 * 0.033339232))) + -89.956924"
11,3266.469,"(((7.2876987 - (x0 * 1.0333303)) + x0) * x0) - 89.92151"
13,2141.9268,"(x0 / (((1008.1971 / x0) - (x0 * -0.2464689)) + -23.671274)) * 34.013226"
15,2006.5193,"((x0 * 0.3348642) * x0) / (((977.1538 / x0) + -32.661488) - (x0 * -0.34462196))"
17,1924.1566,"x0 * ((19.765106 / (-28.096052 + ((1012.35474 / x0) - (x0 * -0.26518396)))) + (x0 / 171.141))"
19,1889.8593,"x0 * ((42.73955 / (-43.552757 + ((1581.9153 / x0) - (x0 * -0.43299276)))) + ((x0 / 93.47377) + -0.91752374))"
21,1884.7861,"(x0 * (((43.23636 / (((1581.9957 / x0) - (x0 * -0.42605525)) + -43.073406)) + (x0 / 93.26864)) + -0.9891577)) + 1.0115358"
23,1884.7858,"(((((43.23636 / (((1581.9957 / x0) - (x0 * -0.42605525)) + -43.073406)) + (x0 / 93.26864)) + -0.9891577) * x0) + 0.038378373) - -0.9891577"
25,1884.7603,"((((43.23636 / (((1581.9957 / x0) - (x0 * -0.42605525)) + -43.073406)) + (x0 / 93.26864)) + -0.9891577) * x0) + ((0.36697957 / x0) - -0.9891577)"
27,1873.1337,"(((24.179068 / (1330.2131 / x0)) * x0) + ((x0 / ((989.39325 / x0) + (-26.787226 - (x0 * -0.2739483)))) * 34.653652)) + ((x0 - 8.456589) * -2.4578393)"
29,1872.6752,"((((x0 * 24.179068) / (1330.2131 / x0)) + ((x0 - 8.456589) * -2.4578393)) + ((x0 / (((989.39325 / x0) + -26.787226) - (x0 * -0.27394825))) * 34.653652)) + -0.658697"
