Complexity,Loss,Equation
1,16134.635,"206.8351"
3,6411.7627,"x0 * 2.6860256"
5,6149.1787,"(x0 + 13.83402) * 2.3548496"
7,4141.371,"x0 * ((x0 * -0.01955669) + 4.8495765)"
9,3266.4824,"(((x0 * -0.03333855) + 7.2889776) * x0) + -89.954445"
11,2012.0261,"(x0 * x0) / ((x0 + (2771.9995 / x0)) + -93.26692)"
13,2005.4,"x0 * ((x0 / ((x0 + -94.257225) + (2818.653 / x0))) + -0.051679622)"
15,1867.5602,"(((94.0479 / ((20498.145 / x0) + x0)) + -0.34613115) * x0) * (21.362246 - x0)"
17,1712.8448,"(x0 * ((20.993795 / (x0 + ((18509.809 / x0) + -160.60953))) + -0.2059253)) * (19.344374 - x0)"
19,1691.463,"(((x0 + -26.479523) * ((-33.17405 / (((18306.389 / x0) + x0) + -132.63164)) + 0.25741076)) * x0) + 27.651154"
21,1691.4258,"((((-33.636787 / ((x0 + (18306.393 / (x0 - -0.2537332))) + -132.11716)) + 0.2603546) * (x0 + -26.528439)) * x0) + 27.44924"
23,1684.4362,"((x0 - (-5.0988975 / x0)) * ((x0 + -29.36621) * ((-39.77413 / (((18305.414 / x0) + x0) + -119.04044)) + 0.2787829))) - -43.034405"
25,1438.748,"((((-39.10255 / ((x0 + -122.53512) + (18305.215 / x0))) + 0.2809159) * (x0 + (7.0082817 / (x0 + -122.92737)))) * (x0 + -26.843485)) - -25.54074"
27,1430.3192,"((x0 + (-0.96961886 - (-7.0701556 / (x0 + -122.92737)))) * (((-39.102547 / (((18305.215 / x0) + -122.53512) + x0)) + 0.2811526) * (x0 + -26.374565))) - -23.617815"
