Complexity,Loss,Equation
1,16134.635,"206.83542"
3,6411.7627,"x0 * 2.6860554"
5,6149.179,"32.589912 - (x0 / -0.424675)"
7,4141.371,"((x0 * -0.01955669) + 4.8495765) * x0"
9,3266.4827,"(((x0 * -0.033340465) + 7.2892957) * x0) + -89.96563"
11,3266.4795,"(x0 * (((x0 * -0.033339355) + 72.481636) - 65.19228)) + -89.98005"
13,2012.0278,"(x0 * x0) / ((((53.146954 / x0) - 1.7884021) * 52.14305) + x0)"
15,2005.3599,"x0 * ((x0 / (x0 + (((50.983376 / x0) - 1.7042803) * 55.372677))) - 0.05982619)"
17,1968.3561,"((x0 * (68.562836 / ((((36.99875 / x0) - 1.0109675) * 106.24878) + x0))) + -19.01239) + x0"
19,1905.2927,"x0 * (((x0 / 141.6828) + (83.75162 / (x0 + (((24.796583 / x0) - 0.67624277) * 155.35179)))) - 0.28757372)"
21,1902.7294,"(((83.05523 / (x0 + (((24.731253 / x0) - 0.68179953) * 152.92982))) + ((x0 / 142.35966) - 0.21360046)) * x0) + -5.3841667"
23,1862.2164,"(x0 * (90.30147 / ((((20.03437 / x0) - 0.54972726) * 190.36089) + x0))) + ((x0 + -84.32556) / ((133.0182 / x0) + -0.36872807))"
25,1772.0807,"((x0 + 19.954647) * (88.25553 / ((((17.658848 / x0) - 0.44667736) * 244.42683) + x0))) + ((x0 + -120.733604) / ((149.88042 / x0) + -0.81440735))"
27,1723.8108,"(((x0 + -96.24503) / (-1.1179388 + (200.77812 / x0))) + (118.08382 * ((x0 + 31.635857) / (x0 + (((15.717004 / x0) - 0.3572574) * 299.67255))))) - x0"
29,1717.6328,"(((((x0 + 31.635857) / (x0 + (((15.717004 / x0) - 0.3572574) * 299.67255))) * 118.08382) - x0) + ((x0 + -96.24503) / ((200.77812 / x0) + -1.1179388))) - 2.4542317"
