Complexity,Loss,Equation
1,16134.635,"206.83505"
3,6411.7627,"x0 * 2.6861458"
5,6149.1787,"(x0 + 13.835439) * 2.354821"
7,4141.371,"x0 * ((x0 * -0.01955669) + 4.8495765)"
9,3266.4827,"(x0 + -13.129854) * ((x0 * -0.03333892) + 6.8512945)"
11,2012.0325,"(x0 / ((x0 + -93.237175) - (-2770.3809 / x0))) * x0"
13,2006.4479,"x0 * ((x0 / ((-2840.0232 / x0) - (x0 + -94.852516))) * -0.9713158)"
15,1964.6537,"(((60.02434 / (x0 + (-107.572235 - (-3821.7007 / x0)))) - -1.1902361) * x0) + -22.811455"
17,1959.4568,"x0 + (((x0 / ((x0 - (-2217.4915 / (x0 - 14.828273))) + -88.479744)) * 77.45643) + -12.767046)"
19,1780.6902,"(x0 * ((x0 / (-27.588614 - (-4362.335 / x0))) + 87.11594)) / ((x0 - (-4213.0034 / x0)) + -110.20877)"
21,1773.0928,"(x0 * (91.14509 / ((x0 - (-4223.941 / x0)) + -109.64441))) + (x0 * (2.0259314 / (-27.733982 - (-4361.5874 / x0))))"
23,1761.8312,"((x0 * (151.2122 / ((x0 + -103.296936) - (-4319.065 / x0)))) + ((x0 * 3.2173128) / (-27.337431 - (-4359.433 / x0)))) - x0"
25,1725.3098,"((x0 * 147.43138) / (x0 + (-102.417206 - (-4351.4 / (x0 - -2.3178208))))) + (((x0 / (-26.710014 - (-4358.7603 / x0))) * 4.2000046) - x0)"
27,1722.8582,"((5.0100574 / (-26.325653 - (-4358.9443 / x0))) * x0) + ((((x0 + 10.942084) / (x0 + (-103.8074 - (-4350.501 / x0)))) * 130.88242) - (x0 - -2.7115357))"
29,1722.7927,"((((((x0 + 11.105368) / ((x0 + -103.85798) - (-4358.9404 / x0))) * 130.92241) - x0) - -0.9220452) + -3.5110157) + ((x0 * 4.9477654) / (-26.36474 - (-4358.9453 / x0)))"
