Complexity,Loss,Equation
1,16134.635,"206.83191"
3,6411.7627,"x0 * 2.6861458"
5,6149.179,"(x0 - -13.835471) * 2.354783"
7,4141.371,"x0 * ((x0 + -247.96405) * -0.01955865)"
9,3266.4827,"(x0 * ((x0 * -0.033339035) + 7.2890506)) + -89.95724"
11,3266.468,"((((x0 * -1.03331) + 7.284107) + x0) * x0) + -89.78677"
13,3074.1467,"((x0 * -0.03775312) + ((-11.582564 / x0) - -7.546511)) * (x0 - 15.1390085)"
15,2940.385,"(x0 - 15.996882) * ((-77.39471 / (x0 + 6.02327)) + ((x0 * -0.045815732) - -9.081125))"
17,2920.4915,"(((x0 * -0.044713736) + (-42.323105 / (x0 - (-4.5578494 / x0)))) - -8.714773) * (x0 - 17.234163)"
19,2153.0552,"(x0 + ((x0 + x0) * -5.2339716)) / (((3.962523 / (x0 / -68.76481)) + (x0 / -15.201127)) - -6.257614)"
21,1972.0398,"x0 + (x0 - ((x0 + -29.289915) * (-5.575661 / ((x0 / -10.147331) + (16.001205 / ((x0 / -36.622353) + 3.8590264))))))"
23,1968.6462,"(x0 + 3.6076217) + (x0 - (((-29.844223 + x0) * -5.5953956) / ((x0 / -10.098822) + (15.935454 / ((x0 / -36.588543) + 3.8407547)))))"
25,1901.8237,"x0 - (((x0 * -7.236702) / (((x0 / -7.485614) + 8.928948) + (18.705296 / ((x0 / -7.75379) + 13.678189)))) + ((49.585075 - x0) - x0))"
27,1808.933,"((x0 / ((x0 / -27.415762) + 6.055291)) + x0) - ((-7.7873244 / ((20.749954 / ((x0 / -31.399881) + 4.7027793)) + (x0 / -10.522665))) * (x0 + -20.898708))"
29,1808.0544,"((x0 + (x0 / ((x0 / -25.94222) + 6.3738937))) - ((x0 + -21.199528) * (-7.4301186 / ((20.288986 / ((x0 / -29.71739) + 4.9929624)) + (x0 / -11.594551))))) - -0.47443476"
