Complexity,Loss,Equation
1,63116.215,"347.5211"
3,13610.278,"x0 ^ 1.1512895"
5,13281.09,"exp(exp(x0 ^ 0.111341506))"
7,12976.698,"(x0 + x0) + (1.017362 ^ x0)"
8,12901.666,"x0 + (x0 + exp(x0 * 0.016745444))"
9,12846.185,"(x0 + x0) - ((1.0221739 ^ x0) * -0.22015513)"
11,12830.498,"x0 + (x0 - (((1.0221741 ^ x0) * -0.21141207) - 4.922795))"
13,12826.049,"(x0 - (((1.0220985 ^ x0) * -0.2122212) - (x0 ^ 0.35089532))) + x0"
15,12728.064,"(x0 + ((x0 + x0) ^ 0.8823632)) - (((0.7159882 ^ x0) ^ -0.05376978) * -0.8038451)"
16,11767.257,"exp(((x0 ^ (0.9686395 ^ x0)) ^ -343.0151) + ((0.9657393 ^ x0) * -7.498701)) * 329.87576"
18,11546.757,"exp(((x0 ^ (0.97038126 ^ x0)) ^ (6.8753943 - x0)) + ((0.9681204 ^ x0) * -6.8633013)) * 341.97684"
20,11546.536,"(exp(((x0 ^ (0.97038126 ^ x0)) ^ (6.8753943 - x0)) + ((0.9681204 ^ x0) * -6.8633013)) * 341.97684) + 0.4775731"
22,11535.427,"exp((((0.9703773 ^ x0) * -6.0378666) + -0.071276575) + (((374.86197 ^ (0.9697831 ^ x0)) ^ (-5.511029 - x0)) * 0.94321233)) * 375.99796"
24,11534.551,"(exp(((0.9703773 ^ x0) * -6.0378666) + ((((374.86197 ^ (0.9697831 ^ x0)) ^ (-6.0378666 - x0)) + -0.071276575) * 0.94321233)) * 375.99796) + -2.0084152"
26,11534.444,"(exp(((0.9703773 ^ (x0 + 0.15423739)) * -6.0378666) + ((((374.86197 ^ (0.9697831 ^ x0)) ^ (-6.0378666 - x0)) + -0.071276575) * 0.94321233)) * 375.99796) + -2.0084152"
28,11532.304,"((-0.9425573 ^ x0) * x0) + (exp((((374.86197 ^ (0.9697831 ^ x0)) ^ (-6.0378666 - x0)) * 0.94321233) + (((0.9703773 ^ x0) * -6.0378666) + -0.071276575)) * 376.17535)"
30,11532.217,"(exp((((374.86197 ^ (0.9697831 ^ x0)) ^ (-6.0378666 - x0)) * 0.94321233) + (((0.9703773 ^ x0) * -6.0378666) + -0.071276575)) * 375.99796) + (((-0.9425573 ^ x0) * x0) + 0.17738827)"
