Complexity,Loss,Equation
1,144.05836,"19.243305"
3,0.15575479,"x0 * 0.34470287"
5,0.097359985,"(x0 * 0.30979598) ^ 1.0329049"
7,0.07935538,"((x0 * 0.28391644) ^ 1.0564724) + 0.4064057"
10,0.07530903,"((x0 * 0.35908955) + exp(0.9683319 ^ x0)) - 2.2598045"
11,0.06542581,"((0.98566276 ^ (1.1774055 ^ x0)) + (x0 * 0.35594997)) - 0.91058606"
13,0.060260847,"(0.9141064 ^ ((1.1035585 ^ x0) + -4.3510714)) + ((x0 * 0.35839885) - 1.1126696)"
15,0.057313148,"((0.98709315 ^ (1.1670539 ^ x0)) - 1.0757989) + (x0 * (0.35799155 + (0.39937955 ^ x0)))"
17,0.050942022,"(x0 * 0.34494933) + ((((0.074787095 ^ (x0 ^ 0.8530478)) ^ (0.8188464 ^ x0)) * -0.69377285) - -0.25412148)"
19,0.047557354,"(x0 * 0.34591237) + (((((0.115883075 ^ (x0 ^ 0.9001076)) ^ (0.6619718 ^ x0)) ^ 207.40263) * -0.6584442) + 0.16162172)"
21,0.043076087,"((((0.11431131 ^ (x0 ^ 0.90153074)) ^ (0.6793772 ^ x0)) ^ 207.40265) * -0.5856491) + ((x0 * 0.3475782) + (0.3218997 ^ x0))"
23,0.043075845,"(x0 * 0.34757793) + (((((0.11313923 ^ (x0 ^ 0.90154225)) ^ (0.6789622 ^ x0)) ^ 207.40265) * -0.58535504) + (0.5684178 ^ (x0 + x0)))"
25,0.043075833,"(x0 * 0.34757793) + (((((0.11313923 ^ (x0 ^ 0.90154225)) ^ (0.6789622 ^ x0)) ^ 207.40265) * -0.58535504) + (0.5684178 ^ (x0 + (x0 * x0))))"
26,0.0430757,"((((0.11342367 ^ (x0 ^ 0.9016766)) ^ (0.67919767 ^ x0)) ^ 207.40265) * -0.58541435) + ((0.5272665 ^ exp((x0 + x0) * 0.28485966)) + (x0 * 0.3475772))"
27,0.043069094,"(((((0.11342367 ^ (x0 ^ 0.9016766)) ^ (0.67919767 ^ x0)) ^ 207.40265) * -0.58541435) + ((0.5272665 ^ x0) - (0.30165192 * (0.67919767 ^ x0)))) + (x0 * 0.3475772)"
29,0.04306742,"((((0.11333086 ^ ((x0 + 0.6203309) ^ 0.90055937)) ^ (0.67879 ^ x0)) ^ 207.40265) * -0.585445) + (((0.5272336 ^ x0) - ((0.6794449 ^ x0) * 0.30168778)) + (x0 * 0.34757876))"
