Complexity,Loss,Equation
1,217.47076,"25.735863"
3,9.461316,"x0 * 0.4484543"
4,6.687205,"exp(x0 ^ 0.28996095)"
6,6.6266446,"exp((-0.99600154 + x0) ^ 0.2903505)"
7,5.4375424,"((0.9043743 ^ x0) + 0.44471627) * x0"
8,2.578476,"exp(x0 ^ ((0.8213806 ^ x0) + 0.28956643))"
9,1.8343135,"(((0.7837074 ^ x0) * x0) + 0.44525355) * x0"
10,1.365235,"exp(x0 ^ ((0.83501375 ^ x0) + 0.2931508)) - 2.1559024"
11,0.5829183,"(-0.99600154 + x0) * (0.45197305 + ((-0.6192867 ^ x0) * -204.89476))"
13,0.5418738,"(((x0 + -0.9802186) * ((-0.674586 ^ x0) + -0.005410649)) * -84.9964) + -0.6329946"
15,0.52079374,"((((-0.5861576 ^ x0) + -5.072772e-6) * x0) + -0.01253631) * (-34.814777 * (-0.9753197 + x0))"
17,0.51667565,"((((((-0.5667989 ^ x0) + -5.0897925e-6) * x0) + -0.008608983) * (x0 + -0.9936452)) * -49.42472) + 0.35125422"
19,0.5146576,"((((x0 + 30.447973) * ((-0.5305689 ^ x0) + -1.0429194e-5)) + -0.015357493) * ((x0 + -0.99997455) * -26.867416)) - -0.4996745"
21,0.5146445,"(((((x0 + 30.447973) - -0.054680202) * ((-0.5305689 ^ x0) + -1.0429194e-5)) + -0.015357493) * ((x0 + -0.99997455) * -26.867416)) - -0.49851778"
23,0.5105092,"(((x0 + -0.99993163) * ((x0 + ((x0 + 28.76746) * ((-0.53267854 ^ x0) + -1.0422572e-5))) - (x0 + 0.015386048))) * -26.864687) + 0.48782852"
25,0.51047486,"((((x0 + -0.99993163) * ((((x0 + 28.786577) * ((-0.53267854 ^ x0) + -1.0422572e-5)) + x0) - (x0 + 0.015386048))) * -26.864687) + 0.11894242) - -0.3627485"
