Complexity,Loss,Equation
1,128.49779,"18.366764"
3,0.03930561,"x0 * 0.32808357"
5,0.0333363,"(x0 * 0.31714967) ^ 1.0104175"
7,0.025387824,"((x0 * 0.29272) + 0.31026202) ^ 1.0313689"
9,0.024019418,"((x0 * 0.33574617) + -0.7046649) + (0.96593285 ^ x0)"
10,0.024019033,"((x0 * 0.33579418) + -0.7096962) + exp(x0 * -0.034371324)"
11,0.023429014,"(x0 * 0.33629206) + ((0.98318243 ^ (x0 ^ 1.2140943)) + -0.72295886)"
12,0.012450062,"(x0 * 0.31869605) + (0.12832001 ^ exp((1.0700856 ^ x0) * -0.013971264))"
14,0.007647045,"((0.0027210012 ^ exp((1.0688833 ^ x0) * -0.022590224)) + (x0 * 0.31650645)) + 0.23669674"
16,0.0075891055,"((0.0027210012 ^ exp((1.0717518 ^ (x0 - 1.3202978)) * -0.020757264)) + (x0 * 0.31650645)) + 0.23559088"
18,0.007588376,"(0.0027210012 ^ exp(((1.0717518 ^ (x0 - 1.227261)) + -0.6412392) * -0.020757264)) + (0.23555033 + (x0 * 0.31650645))"
20,0.0073182806,"((x0 * 0.31649026) + 0.23717491) + (0.0034934357 ^ exp((-0.02324085 + ((0.17398934 ^ x0) ^ 0.0034934357)) * (1.0686519 ^ x0)))"
22,0.0073106303,"(0.23873897 + (x0 * 0.31649026)) + (0.0034934357 ^ exp((1.0686519 ^ x0) * ((((x0 ^ -0.51130307) ^ x0) ^ 0.011618782) + -0.02324085)))"
24,0.0072946395,"((0.0034934357 ^ exp((1.0686519 ^ (x0 - 0.23873897)) * ((((x0 ^ -0.51130307) ^ x0) ^ 0.011618782) + -0.02324085))) + 0.23873897) + (x0 * 0.31649026)"
25,0.007249775,"(x0 * 0.31649026) + (0.23717491 + (0.0034934357 ^ ((((x0 ^ -0.51130307) ^ x0) ^ exp(x0 * -0.09038425)) + exp((1.0686519 ^ x0) * -0.02324085))))"
26,0.0072076083,"((x0 * 0.31649026) + (0.0034934357 ^ exp(((((x0 ^ -0.51130307) ^ x0) ^ (0.4788445 ^ (x0 * 0.08621071))) + -0.02324085) * (1.0686519 ^ x0)))) + 0.23717491"
28,0.007160777,"((0.0034934357 ^ exp(((((x0 ^ -0.51130307) ^ x0) ^ (0.34456283 ^ ((x0 * 0.08621071) + -1.1757388))) + -0.02324085) * (1.0686519 ^ x0))) + 0.23873897) + (0.31649026 * x0)"
30,0.00714674,"(x0 * 0.31649026) + ((0.0034934357 ^ exp((-0.02324085 + (((x0 ^ -0.51130307) ^ x0) ^ (0.34456283 ^ (-1.1757388 + (x0 * 0.08621071))))) * (1.0686519 ^ (x0 - 0.22628805)))) + 0.23873897)"
