Complexity,Loss,Equation
1,1555.2008,"x0"
3,560.91345,"1.0340718 ^ x0"
4,555.55554,"exp(x0 * 0.033700474)"
5,388.87515,"(1.0332215 ^ x0) + 16.999472"
6,382.8698,"exp(x0 * 0.032959137) + 15.584355"
7,356.52487,"(1.0320135 ^ x0) + (x0 ^ 0.7243034)"
8,319.78207,"(x0 + exp(x0 * 0.038388073)) * 0.33234933"
10,82.6663,"(x0 * 0.6180395) + exp((x0 * 0.22296712) + -30.865376)"
12,57.26577,"-10.122919 + ((x0 + exp(-30.970863 + (x0 * 0.22543061))) * 0.7170655)"
13,32.790005,"exp((x0 * 0.2958026) + -42.717472) + (exp(-0.9928312 ^ x0) * x0)"
14,27.07736,"((-0.9922091 ^ x0) + 1.0447942) * (exp(-42.85991 + (x0 * 0.2981235)) + x0)"
16,25.015842,"(((-0.9925478 ^ x0) + 1.0436314) * (exp((x0 * 0.29840448) + -42.865288) + x0)) + 2.0036983"
18,24.733234,"(((x0 * 0.9798412) + exp((x0 * 0.29840454) + -42.865288)) * ((-0.9925478 ^ x0) + 1.0438402)) + 2.9419005"
20,22.404978,"exp((x0 * 0.29965964) + -43.35513) + ((x0 * ((0.6884009 - (-0.95754826 ^ x0)) + (-0.983788 ^ x0))) ^ 1.0396782)"
22,22.24743,"exp((x0 * 0.29953933) + -43.32261) + (((((-0.98307437 ^ x0) + (0.6810206 - (-0.9563655 ^ x0))) * x0) ^ 1.040178) + -0.78172064)"
24,22.061598,"(exp((x0 * 0.29940477) + -43.30772) + (((x0 + -0.98269975) * (((-0.98269975 ^ x0) - (-0.9544857 ^ x0)) + 0.6773438)) ^ 1.0393435)) + 0.24695441"
26,22.053988,"(exp((x0 * 0.29940477) + -43.30772) - -1.162792) + ((((x0 + -0.42854646) * (((-0.98269975 ^ x0) - (-0.9544857 ^ x0)) + 0.6773438)) ^ 1.0393435) + -1.2861149)"
30,22.053984,"(((((x0 + -0.45866203) - (-0.45866203 - -0.42854646)) * ((0.6773438 + (-0.98269975 ^ x0)) - (-0.9544857 ^ x0))) ^ 1.0393435) + (exp(-43.30772 + (x0 * 0.29940477)) - -1.162792)) + -1.2861149"
