Complexity,Loss,Equation
1,11693.089,"127.8977"
3,504.16855,"x0 ^ 1.5330234"
5,465.06357,"(x0 * 0.6825885) ^ 1.7156237"
6,263.8188,"exp((x0 + 7.9119954) ^ 0.44917095)"
7,98.18216,"(x0 * 3.990272) - (-1.1304715 ^ x0)"
8,7.426374,"x0 * (exp(x0 - 39.97967) + 5.01298)"
10,6.729632,"(x0 * (exp(x0 - 39.915874) + 5.2668076)) ^ 0.9905124"
12,2.904597,"((x0 * (exp(x0 - 39.568626) + 6.808459)) ^ 0.9448584) - 2.6054285"
15,0.22763503,"((x0 * (exp(x0 - 39.94523) + 4.73838)) - exp(3.3117323 - x0)) + 6.874794"
17,0.12215392,"(((exp(x0 - 39.93816) + 3.714468) - exp(3.3691292 - x0)) * x0) + (x0 + 7.31946)"
19,0.11807525,"((x0 * (exp(x0 - 39.93816) + (3.714468 - exp(3.3691292 - (x0 ^ 0.8488004))))) + x0) + 7.322987"
20,0.09040848,"x0 + ((((((x0 ^ -2.4905157) * -11.232483) + 3.6861138) + (exp(x0 - 39.85585) * 0.9257139)) * x0) + 8.009175)"
21,0.0493279,"((x0 - -0.2842082) * (exp(x0 - 39.93949) + (3.6763465 - exp(0.502165 * (5.3893757 - x0))))) + (x0 + 7.2744365)"
23,0.04891654,"(x0 + (((3.6763465 - exp(3.3418543 - ((x0 + 1.2819313) * 0.49836504))) + exp(x0 - 39.93946)) * (x0 - -0.2842082))) + 7.27442"
27,0.04821592,"(x0 + ((x0 - -0.2842082) * (((3.6763465 - exp(3.3418543 - ((x0 + 1.2819313) * 0.49836504))) + exp(x0 - 39.93949)) - (x0 * 3.0269011e-5)))) + 7.27442"
