Complexity,Loss,Equation
1,355550.06,"530.9835"
3,23366.44,"x0 ^ 1.72029"
4,9142.805,"exp(x0 ^ 0.47275668)"
5,4149.0786,"(x0 ^ 2.6373749) * 0.02257044"
7,4000.4463,"((x0 * 0.26571962) ^ 2.5521164) - x0"
9,3903.6265,"x0 * (((x0 * 0.16064937) ^ 1.3609315) + -3.1766396)"
10,3581.761,"((x0 * x0) ^ exp(-0.9339429 ^ x0)) * 0.3623258"
12,3577.9521,"((x0 * (x0 + 1.3099985)) ^ exp(-0.93586826 ^ x0)) * 0.36096987"
14,1767.0012,"((x0 + (x0 ^ exp((-0.39505902 ^ x0) * 9.3371194e17))) * x0) * 0.1644732"
16,1436.0337,"x0 * ((x0 + (exp((-0.36565548 ^ x0) * 8.7066027e18) * (x0 - 14.439841))) * 0.1848191)"
18,1285.5669,"((x0 + ((x0 - 15.137986) * exp((-0.3605483 ^ x0) * 1.2476903e19))) * 0.20144647) * (x0 + -4.8592563)"
19,1061.2263,"x0 * (((exp(x0 * 0.0480431) + x0) + (x0 ^ exp((-0.36283886 ^ x0) * 5.9736027e18))) * 0.1392248)"
21,1041.1829,"(exp(x0 * 0.048663165) + (x0 + (x0 ^ exp((-0.36780104 ^ x0) * 5.9736027e18)))) * (0.1346778 * (x0 + 1.5759531))"
23,620.88794,"(((x0 + exp(((-0.51766676 ^ x0) * 5.9736027e18) + 2.577294)) + (x0 ^ exp((-0.35026342 ^ x0) * 5.9736027e18))) * x0) * 0.15661046"
24,592.08,"(x0 * (x0 + (exp(exp(((-0.51277006 ^ x0) * 5.9736027e18) + 0.9917471)) + (x0 ^ exp((-0.35183436 ^ x0) * 5.9736027e18))))) * 0.15520236"
25,464.1154,"(exp(((-0.5158321 ^ x0) * 5.9736027e18) + 2.9497283) + ((x0 * exp((-0.36385423 ^ x0) * 5.9736027e18)) + x0)) * ((x0 - -12.373219) * 0.12852605)"
26,458.59827,"((x0 - -12.588776) * 0.12706214) * ((exp((-0.362419 ^ x0) * 5.9736027e18) * (exp(exp(((-0.50994974 ^ x0) * 5.9736027e18) + 1.1090932)) + x0)) + x0)"
27,369.92072,"((((exp((-0.36386457 ^ x0) * 5.9736027e18) * x0) + x0) * (x0 + (exp(((-0.51975626 ^ x0) * 5.9736027e18) + 2.7149484) - -25.3883))) * 0.11065642) + -21.567207"
29,282.22336,"(x0 + (x0 * exp((-0.36907437 ^ x0) * 5.9736027e18))) * (((exp(((-0.5142925 ^ x0) * 5.9736027e18) + 2.6069155) + x0) - -19.168955) * ((-0.8351957 ^ x0) + 0.117103085))"
30,282.05817,"((exp(exp(((-0.5084956 ^ x0) * 5.9736027e18) + 0.9888433)) - -18.254545) + x0) * (((-0.83569187 ^ x0) + 0.117008224) * ((exp((-0.3677668 ^ x0) * 5.9736027e18) * x0) + x0))"
