Complexity,Loss,Equation
1,13111.721,"127.14321"
3,4795.108,"x0 * 0.1502306"
4,4593.8843,"exp(x0 ^ 0.23178002)"
5,4426.4526,"(x0 * 0.03232766) ^ 1.4089383"
7,4423.0713,"((0.81063396 * x0) ^ 1.0501908) - x0"
9,4422.2295,"(((x0 * 0.81063396) ^ 1.0501908) - x0) + 0.9160365"
12,4421.8013,"(x0 * 0.033658016) ^ (1.394104 ^ exp((-0.97542703 ^ x0) * x0))"
13,4421.4023,"(x0 * 0.033241462) ^ (1.3987237 ^ (12.218703 ^ (x0 * (-0.9729848 ^ x0))))"
14,4395.219,"(x0 * 0.10452524) ^ (1.0887141 ^ exp(x0 * ((-0.991294 ^ x0) * 4.2824607)))"
16,4391.5513,"((x0 * 0.10452557) ^ (1.0887139 ^ exp((-0.99111956 ^ x0) * (x0 * 4.2824607)))) + -2.3907661"
17,4381.9194,"(exp(exp(12.692923 - (x0 ^ 0.40877312)) * -58.468777) + 2.1040168) * ((x0 * 0.054855023) - 3.2045255)"
19,4355.091,"((exp(-0.7751275 * exp(x0 * ((5.785579 - (x0 ^ 0.25365144)) * 0.16931482))) + 1.8896292) * 0.05526964) * x0"
21,4343.761,"((x0 * 0.05526964) - 3.0948596) * (exp(exp((5.785579 - (x0 ^ 0.25365144)) * (x0 * 0.16482773)) * -0.7265924) + 2.0083344)"
23,4342.3164,"3.2377708 + (((0.05526964 * x0) - 4.206782) * (exp(exp((5.785579 - (x0 ^ 0.25365144)) * (x0 * 0.16482773)) * -0.7274129) + 2.0083344))"
25,4183.2305,"(x0 * (exp(exp((5.785579 - (x0 ^ 0.25365144)) * (x0 * 0.05526964)) * ((5.785579 - (x0 ^ 0.25365144)) * -176.9277)) + 1.8608197)) * 0.05526964"
27,4174.4287,"(x0 * 0.05526964) * (exp(exp((((5.785579 - (x0 ^ 0.25365144)) * x0) + 2.2587106) * 0.065112285) * ((5.785579 - (x0 ^ 0.25365144)) * -176.9277)) + 1.8896292)"
28,4166.626,"(exp(exp((((5.785579 - (x0 ^ 0.25365144)) * x0) + exp(1.3609453)) * 0.065112285) * (-176.9277 * (5.785579 - (x0 ^ 0.25365144)))) + 1.8896292) * (x0 * 0.05526964)"
30,4157.8955,"(exp(exp((exp(1.3749319) + ((5.785579 - (x0 ^ 0.25365144)) * x0)) * 0.065112285) * (-176.9277 * (5.785579 - (x0 ^ 0.25365144)))) + 1.8896292) * ((x0 * 0.05526964) + -1.7662673)"
