Complexity,Loss,Equation
1,8.909155,"5.372654"
3,0.035875615,"x0 * 0.004558885"
5,0.017689485,"0.007377498 * (x0 ^ 0.9351194)"
7,0.01762301,"((x0 ^ 0.92908823) * 0.0077466015) + -0.029692158"
9,0.014616471,"(((-0.00076357054 - x0) + x0) * x0) * -6.1842117"
11,0.013331415,"(x0 * ((x0 + (-0.00076378084 - x0)) * -6.12372)) + 0.06867477"
13,0.012421536,"((x0 + -0.0010073333) - x0) * ((x0 ^ -0.028480185) * (x0 * -5.737937))"
15,0.012420068,"(((x0 + (-0.0010073333 - x0)) * (x0 - -0.28323925)) * -5.737937) * (x0 ^ -0.028480185)"
16,0.012398085,"(x0 - 2.4463801) * ((exp(x0 ^ -0.044585697) * (x0 + (-0.001007554 - x0))) * -2.2681792)"
18,0.01239793,"(((x0 + (-0.001007554 - x0)) * (x0 + -2.3924036)) * exp((x0 + 2.8766243) ^ -0.044585697)) * -2.2681792"
20,0.0123968525,"((((x0 + -0.001007554) - x0) * exp(x0 ^ (-0.044585697 - (x0 ^ -1.1402164)))) * (x0 + -0.5675732)) * -2.2681792"
22,0.012396635,"(exp((x0 + -0.5403682) ^ (-0.044585697 - (x0 ^ -1.1402164))) * ((x0 + (-0.001007554 - x0)) * -2.2681792)) * (x0 + -0.5675732)"
24,0.0123637915,"((-0.0010073333 + x0) - x0) * (x0 * ((((x0 ^ 0.2808912) ^ -0.101392224) * -5.737906) - (0.42864582 ^ exp((x0 * -0.0010073333) + 3.9418066))))"
26,0.012318358,"((-5.737906 - (0.466953 ^ exp((x0 * -0.0010073333) + 3.9418066))) * ((x0 * ((x0 ^ 0.2808912) ^ -0.101392224)) * ((x0 + -0.0010073333) - x0))) ^ 0.9995207"
27,0.012313396,"((-5.737906 - (exp(-0.73593247) ^ exp((x0 * -0.0010073333) + 3.9418066))) * ((x0 * ((x0 ^ 0.2808912) ^ -0.101392224)) * ((x0 + -0.0010073333) - x0))) ^ 0.9995207"
28,0.012298008,"((x0 * ((((x0 ^ 0.2808912) ^ -0.101392224) * -5.737906) - (0.3960221 ^ exp(exp(exp((x0 * -0.0010073333) + 1.2984687)))))) * (x0 + (-0.0010073333 - x0))) ^ 0.9995207"
30,0.012296889,"((((((x0 ^ 0.2808912) ^ -0.101392224) * -5.737906) - (0.3960221 ^ exp(exp(exp((x0 * -0.0010073333) + 1.3497014))))) * (x0 + (-0.0010073333 - x0))) * (x0 - -0.27810532)) ^ 0.9995207"
