Complexity,Loss,Equation
1,131993.11,"356.82736"
3,48332.13,"1.1223818 ^ x0"
4,45736.5,"exp(x0 ^ 0.47075608)"
5,29924.516,"(1.1189187 ^ x0) + 156.32687"
7,28703.246,"((1.1421127 ^ x0) + 611.96783) * 0.2854755"
9,20317.115,"((0.919243 ^ x0) + 1.1114676) ^ (x0 + 1.8352711)"
10,14701.497,"(exp(0.94187534 ^ x0) ^ x0) + (1.1219015 ^ x0)"
12,6478.7827,"(exp(0.9468377 ^ x0) ^ (x0 - 1.7407517)) + (1.1219015 ^ x0)"
14,6329.3135,"(1.1218275 ^ x0) + (exp(0.9468377 ^ (x0 + -0.26525676)) ^ (x0 - 1.8642201))"
15,5949.638,"(1.1220515 ^ x0) + (exp(0.9462829 ^ x0) ^ (x0 - exp(0.9462829 ^ x0)))"
16,5131.485,"(((x0 * (76.13843 - x0)) * (-0.03903424 - exp(x0 * -0.28829136))) + 59.235405) * 47.746"
18,4999.696,"(((-0.007234257 - exp(x0 * -0.43568927)) * (((74.527565 - x0) * x0) - 57.956615)) + 10.160927) * 238.54184"
20,4645.0835,"(x0 + 117.7165) * (((((77.073044 - x0) * x0) - 52.49379) * (-0.010626362 - exp(x0 * -0.3977712))) + 16.092964)"
22,4464.7446,"((((-0.006933898 - exp(x0 * -0.43453616)) * (((77.68812 - x0) * x0) - 60.438797)) + 10.636518) ^ 1.174501) * (x0 + 158.81598)"
24,3804.6614,"(((((-0.006933898 - exp(x0 * -0.43453616)) * (((77.68812 - x0) * x0) - 60.438797)) + 10.636518) ^ 1.174501) * (147.32849 + x0)) + x0"
26,3801.45,"(((((-0.006933898 - exp(-0.43453616 * x0)) * (((77.68812 - x0) * x0) - 60.438797)) + 10.636518) ^ 1.174501) * (147.32849 + (x0 + -0.47283974))) + x0"
