Complexity,Loss,Equation
1,0.08804948,"0.49651954"
3,0.0034643998,"x0 * 0.00019957383"
5,0.0034379186,"(x0 ^ 1.0275466) * 0.00015927003"
7,0.0034330918,"0.012477482 - ((x0 ^ 1.058099) * -0.00012182457)"
8,0.003416842,"(x0 * 0.0002030099) ^ exp(2.116309e-5 * x0)"
10,0.0034134232,"(x0 * 0.00020313814) ^ exp((x0 * 4.4732624e-5) ^ 1.4059043)"
12,0.003413416,"(x0 * 0.00020313814) ^ exp(((x0 - -1.485082) * 4.4732624e-5) ^ 1.4059043)"
14,0.0034128474,"(x0 + ((x0 * 0.0002030099) - x0)) ^ exp((x0 * 4.4732624e-5) ^ 1.4139116)"
16,0.0034125873,"((((x0 + 4.7243314) * 0.0002030099) + x0) - x0) ^ exp((x0 * 4.4732624e-5) ^ 1.3566501)"
18,0.003411666,"(x0 + ((((x0 * 0.0002030099) + x0) - x0) ^ exp((x0 * 4.4732624e-5) ^ 1.4184887))) - x0"
20,0.0034113047,"x0 + ((((x0 + (0.0002030099 * (-0.26430896 + x0))) - x0) ^ exp((4.4732624e-5 * x0) ^ 1.4184887)) - x0)"
22,0.0034111838,"(x0 + ((x0 + (((x0 - 0.25618166) * 0.0002030099) - x0)) ^ (exp((x0 * 4.4732624e-5) ^ 1.3824683) ^ 0.9417913))) - x0"
24,0.0034111685,"(x0 + ((x0 + (((x0 - 0.25618166) * 0.0002030099) - x0)) ^ (exp(((-0.26430896 + x0) * 4.4732624e-5) ^ 1.3824683) ^ 0.9417913))) - x0"
28,0.003409403,"(((((x0 ^ (0.14406611 - (x0 * -0.00020231996))) * 3.4496125e-7) + x0) - ((x0 - -0.67600787) * -0.00020266493)) - x0) ^ exp(((x0 + x0) * 2.116309e-5) ^ 1.3824683)"
