Complexity,Loss,Equation
1,105.63336,"13.852622"
3,34.81172,"x0 * 0.007478621"
5,34.68693,"(x0 * 0.0077601797) - 0.7054743"
7,34.54606,"-2.0194607 - ((x0 ^ 0.8757242) * -0.022067355)"
8,34.434757,"x0 * (0.007483619 ^ exp(0.9955932 ^ x0))"
10,34.403023,"(0.007514171 ^ exp((0.90846664 ^ x0) ^ 0.04400839)) * x0"
11,34.32516,"((x0 + ((0.009608865 - x0) * 1.0000005)) * x0) - 1.8283057"
12,34.267147,"(x0 * (0.0071889726 ^ exp((0.910081 ^ x0) ^ 0.033037383))) + 0.8883541"
14,34.262848,"((0.007169393 ^ exp((0.9105179 ^ x0) ^ 0.033821892)) * (x0 + 12.093048)) - -0.8604642"
15,34.152657,"(x0 * (x0 + ((((x0 - 0.009448746) * -1.0000005) - x0) + x0))) - 1.6498318"
17,33.567406,"-0.91082627 + (x0 * (0.007796188 + ((x0 + ((x0 + x0) * -0.051370993)) + (-0.897258 * x0))))"
19,31.905003,"(((x0 * 3.2542357) + (((x0 + x0) * -2.127118) + (-0.9907555 + x0))) * x0) + (x0 - 1.3096135)"
21,31.779076,"1.0448979 * ((x0 - 1.9184449) + (x0 * (((x0 + -0.9907555) + ((x0 + x0) * -2.127118)) + (3.2542357 * x0))))"
23,31.778915,"(((x0 - 1.9184449) + (((((x0 + x0) * -2.127118) + (x0 + -0.9907555)) + (x0 * 3.2542357)) * x0)) * 1.0448979) + 0.0133116245"
25,31.77009,"(((x0 - 1.9184449) + (x0 * (((x0 + -0.9907555) + ((x0 + x0) * -2.127118)) + (x0 * 3.2542357)))) * 1.0448979) + (x0 ^ -1.296333)"
26,31.71636,"(1.0380589 * (((((-2.127118 * (x0 + x0)) + (x0 + -0.9907555)) + (x0 * 3.2542357)) * x0) + x0)) - exp((-0.9907555 ^ x0) + 0.6998134)"
30,31.714842,"((((((((x0 + x0) * -2.127118) + (x0 + -0.9907555)) + (x0 * 3.2542357)) * x0) + x0) * 1.0380589) - exp((-0.9907555 ^ x0) + 0.6998134)) + (0.6998134 ^ x0)"
