Complexity,Loss,Equation
1,11.822244,"6.1531267"
3,0.08677244,"x0 * 0.003892155"
5,0.059581812,"(x0 ^ 0.9372358) * 0.006305592"
7,0.054450933,"((x0 * -1.6360664e-7) - -0.004276951) * x0"
9,0.05374683,"(x0 * (0.004377673 - (x0 * 1.9032866e-7))) - 0.07912949"
11,0.053740278,"((-0.99562293 - (x0 * 1.9019443e-7)) * x0) + (x0 - 0.07847746)"
13,0.053731687,"((-1.9956203 - (x0 * 1.9061855e-7)) * x0) + (x0 + (x0 + -0.081265055))"
14,0.053723045,"(x0 * (0.00438191 - (x0 * (1.9156604e-7 - exp(-1.4269906 - x0))))) - 0.081953034"
15,0.05371643,"(x0 * (-2.9956217 - (x0 * 1.9069952e-7))) + (((x0 + x0) - 0.07787556) + x0)"
16,0.053652756,"((0.00438191 - ((x0 * 1.9159168e-7) - exp(-1.7806209 - (x0 ^ 0.4474685)))) * x0) - 0.081953034"
17,0.053496514,"x0 + ((((((x0 + x0) * 0.02532327) + -0.99563146) - (x0 * 0.050646722)) * x0) - 0.08988689)"
19,0.053265784,"((x0 * ((-0.97542673 - ((x0 + -0.59405065) * -0.07356555)) - ((x0 + -0.31875747) * 0.07356572))) + -0.05686605) + x0"
21,0.053265747,"((x0 + 1.1466706) + (x0 * ((-0.97542673 - ((x0 + -0.59405065) * -0.07356555)) - ((x0 + -0.31875747) * 0.07356572)))) + -1.2035366"
23,0.05283038,"(((x0 * (0.12369902 - x0)) * 2.2613335e-7) + x0) - ((((x0 + x0) + 0.20769437) * ((x0 + 2.4695487) - x0)) * 0.20156318)"
25,0.052456357,"x0 + ((((0.90549374 - x0) * (x0 * 2.3616904e-7)) + -0.099274896) - (((x0 + x0) + x0) * (((x0 + 1.9234328) - x0) * 0.17252764)))"
