Complexity,Loss,Equation
1,13734.984,"145.41113"
3,1298.6399,"x0 * 0.438406"
4,597.74866,"exp(x0 ^ 0.26993445)"
5,448.26498,"(x0 * 0.062277846) ^ 1.5567857"
7,413.30362,"((x0 ^ 1.1531808) * 0.5509816) - x0"
9,406.88785,"(x0 ^ 1.0908363) - (x0 + (x0 ^ 0.8215911))"
10,381.10376,"((x0 ^ 1.0601516) - x0) ^ exp(-0.9900229 ^ x0)"
11,363.37576,"((x0 ^ 1.0604036) - x0) ^ (x0 ^ (-0.9848388 ^ x0))"
12,358.55545,"((x0 ^ 1.0606961) - x0) ^ (exp(-0.9876459 ^ x0) ^ 2.4874144)"
14,355.44107,"(((x0 ^ 1.0596069) - x0) ^ (exp(-0.9866776 ^ x0) ^ 4.089955)) + 5.920477"
16,354.80048,"((x0 ^ 1.0607028) - x0) ^ ((exp(-0.9867502 ^ x0) ^ 4.2680054) - (-0.986327 ^ x0))"
18,354.51187,"((x0 ^ 1.0607028) - x0) ^ ((exp(-0.9867502 ^ x0) ^ (x0 ^ 0.26357877)) - (-0.986327 ^ x0))"
19,352.38895,"x0 + ((2.7748055 - x0) + (((x0 ^ 1.0602223) - x0) ^ ((1.0311898 ^ x0) ^ (-0.98399156 ^ x0))))"
21,346.44846,"(((x0 ^ 1.061089) - x0) ^ (exp(-0.9879114 ^ x0) ^ exp(exp(exp((-0.987516 ^ x0) * x0))))) + 3.6015"
23,341.82562,"(((x0 ^ 1.061089) - x0) ^ (exp(-0.9879114 ^ x0) ^ exp(exp(exp((x0 * (-0.987516 ^ x0)) - -0.20640326))))) + 4.9040575"
24,317.547,"((x0 ^ 1.0599365) - x0) ^ (exp(-0.9891773 ^ x0) ^ ((exp(exp((-0.9891773 ^ x0) * x0)) ^ (x0 * -1.3845384)) * 1.9763626))"
26,312.8866,"((x0 ^ 1.0599152) - x0) ^ ((exp(-0.9894049 ^ x0) ^ 1.9763627) ^ (exp(exp(((-0.98945403 ^ x0) * x0) + 2.2022092)) ^ (x0 * -0.7202785)))"
28,310.53076,"(((x0 ^ 1.0599152) - x0) ^ ((exp(-0.98945403 ^ x0) ^ 1.9763627) ^ (exp(exp(((-0.98945403 ^ x0) * x0) + 2.2022092)) ^ (x0 * -0.6634039)))) + 1.5549523"
