Complexity,Loss,Equation
1,13868.146,"137.65393"
3,1667.6073,"x0 * 0.4404846"
4,713.14233,"exp(x0 ^ 0.27092797)"
5,430.68005,"(x0 * 0.05264952) ^ 1.6443506"
7,388.4528,"((x0 ^ 0.12671429) + -1.7622658) * x0"
9,385.66998,"(((x0 ^ 0.12683687) + -1.7635132) * x0) + 1.6004514"
10,365.76657,"(x0 * (0.57504123 - exp(x0 * -0.0037589052))) + 13.076976"
12,359.1682,"((0.5680074 - exp(-0.004323665 * x0)) - (-0.980466 ^ x0)) * x0"
13,357.74475,"(0.5680074 - exp((x0 * -0.004323665) - exp(x0 * -0.01466118))) * x0"
14,357.39294,"x0 * (0.5679888 - exp((-0.0043236865 * x0) - (x0 ^ (x0 * -0.0032951476))))"
15,356.5199,"(0.5680074 - exp((x0 * -0.004323665) - exp(x0 * -0.014537437))) * (x0 - 3.1436133)"
16,354.62405,"((0.5683968 - exp((x0 * -0.004362781) - (x0 ^ (x0 * -0.0026035805)))) * x0) + -2.638016"
18,354.44043,"((0.5680671 - exp((-0.0043576173 * (x0 + -2.5847208)) - (x0 ^ (x0 * -0.002513121)))) * x0) + -1.8956714"
19,351.05133,"(0.5680074 - exp((-0.0043617594 * (x0 + -6.940645)) - exp((x0 ^ (0.001669612 * x0)) * -0.5059023))) * x0"
21,350.81137,"(x0 * (0.5680074 - exp(((x0 + -6.940645) * -0.0043675397) - exp((x0 ^ (0.0016485861 * x0)) * -0.5059023)))) - 0.5680074"
23,350.76102,"((0.5680074 - exp(((x0 + -6.940645) * -0.0043675397) - exp(-0.5059023 * (x0 ^ ((x0 + -2.0190957) * 0.0016485861))))) * x0) - 0.5680074"
25,350.7487,"((0.5680074 - exp(((x0 + -6.940645) * -0.0043675397) - exp(-0.5059023 * (x0 ^ (((-1.9166054 + x0) + -2.0190957) * 0.0016485861))))) * x0) - 0.5680074"
27,345.8115,"((x0 - 13.954184) * (exp(0.5900275 - (exp((x0 * -0.0061343675) + 1.109651) + 1.0234617)) - 0.10616975)) + ((0.11456162 ^ ((x0 * -0.020308254) + 12.673743)) + 3.0879493)"
29,345.5872,"((exp(0.5900275 - (exp((x0 * -0.0061343675) + 1.109651) + 1.0234617)) - 0.10616975) * (x0 - 13.954184)) + (((0.11456162 ^ ((x0 * -0.020308254) + 12.673743)) + 2.4160168) * 1.109651)"
30,345.49576,"((x0 - 13.954184) * (exp(0.5900275 - (exp(1.109651 + (-0.0061343675 * x0)) + 1.0234617)) - 0.10616975)) + (((0.11456162 ^ (12.673743 + (-0.020308254 * x0))) + exp(1.0234617)) * 1.109651)"
