Complexity,Loss,Equation
1,3978.0479,"52.285244"
3,959.36194,"1.0050007 ^ x0"
4,959.25055,"exp(0.004996135) ^ x0"
5,906.6003,"(-1.0043423 ^ x0) * -1.9518875"
6,886.35266,"exp(x0 * 0.004890859) + 11.312509"
7,811.29834,"(x0 + (1.0074723 ^ x0)) * 0.053133115"
9,809.8793,"((x0 + (1.0074723 ^ x0)) * 0.053133115) + -1.1741483"
11,809.5047,"((x0 + (1.0074723 ^ (x0 + -2.0427275))) * 0.053133115) - 0.77960205"
12,808.97614,"((x0 + exp((x0 * 0.007444518) + -0.040680066)) * 0.05415394) - 1.2373445"
13,778.188,"(x0 * exp(exp(-21.242249 + (x0 ^ 0.4371183)) - 2.4452949)) - 7.1919923"
14,772.24695,"(x0 * exp(exp(-21.242249 + (x0 ^ 0.4371183)) - 2.4452949)) - exp(2.4452949)"
15,769.9187,"((x0 * exp(exp((x0 ^ 0.43704218) + -21.239529) - 2.4427044)) + 1.319049) - 11.172239"
19,767.26965,"(x0 * exp(exp(((x0 * (x0 * 0.09971125)) ^ 0.24251477) + -17.063229) - 2.3201575)) - (x0 ^ 0.46334094)"
21,767.2076,"((x0 * exp(exp((((x0 * 0.09971325) * x0) ^ 0.24251927) + -17.063229) - 2.3201575)) - (x0 ^ 0.46334085)) + -0.253331"
23,767.05896,"(x0 * exp(exp((((x0 * x0) * 0.0997113) ^ 0.24247688) + -17.063229) - 2.3201575)) - (((x0 + x0) * x0) ^ 0.21949425)"
25,766.5716,"((exp(exp(-17.063227 + ((x0 * (0.09978633 * x0)) ^ 0.24241892)) - 2.320155) + 0.007471057) * x0) - (1.4243028 * ((x0 * x0) ^ 0.21948901))"
27,766.46796,"(((exp(exp(((x0 * (x0 * 0.09978633)) ^ 0.24241892) + -17.063227) - 2.320155) + 0.007471057) * x0) - (((x0 * x0) ^ 0.21948901) * 1.4485878)) + 0.007471057"
