Complexity,Loss,Equation
1,40123.418,"231.30388"
3,6916.6323,"x0 * 0.5580176"
4,3864.5632,"exp(x0 ^ 0.27303362)"
5,3595.028,"(x0 ^ 1.6777279) * 0.006736225"
7,3590.533,"((x0 ^ 1.6946477) * 0.006038072) - 0.8170449"
9,3555.5364,"((0.0011214635 - (x0 * 4.21595e-7)) * x0) * x0"
11,3555.0374,"((x0 * ((x0 * -4.3108616e-7) - -0.0011310972)) * x0) - 1.2000296"
13,3543.1665,"((x0 * x0) * -2.7710419) * (((x0 * x0) * 1.116525e-10) - 0.0003555094)"
15,3337.3965,"((x0 * 0.022917625) - ((0.8579964 ^ x0) ^ (0.88854396 ^ x0))) * (x0 ^ 0.49834642)"
16,3201.2976,"(x0 ^ 0.47466362) * ((x0 * 0.028526766) - exp((0.8773738 ^ x0) ^ (0.8878515 ^ x0)))"
18,3153.0867,"((x0 * 0.02774911) - exp((0.87715167 ^ x0) ^ (0.88754493 ^ x0))) * ((x0 ^ 0.47459307) - -1.2232107)"
20,2916.558,"(x0 ^ 0.474764) * (((x0 * 0.02702025) - exp(((0.8775564 ^ x0) ^ (0.88747865 ^ x0)) + 0.8268264)) + 4.329895)"
22,2914.325,"((((x0 * 0.027020223) + 4.329895) - exp(((0.8775564 ^ x0) ^ (0.88747865 ^ x0)) + 0.8268264)) * (x0 ^ 0.474764)) + 1.4914773"
24,2901.6648,"((4.363178 - exp(((0.87777454 ^ x0) ^ (0.8872096 ^ (x0 + -2.2093687))) + 0.8268323)) + (x0 * 0.025608372)) * ((x0 ^ 0.47464138) + 1.4075377)"
26,2901.571,"(((x0 ^ 0.47464138) + 1.4075377) * ((x0 * 0.025608372) + (4.329894 - exp(((0.87777454 ^ x0) ^ (0.8872096 ^ (x0 + -2.2093687))) + 0.8268323)))) + 0.7482132"
27,2901.5427,"exp(-0.9006571) + ((((0.025608372 * x0) + 4.329894) - exp(((0.87777454 ^ x0) ^ (0.8872096 ^ (-2.2093687 + x0))) + 0.8268323)) * ((x0 ^ 0.47464138) + 1.4075377))"
28,2901.5183,"(((4.329894 - (exp(((0.87777466 ^ x0) ^ (0.8872094 ^ (x0 + -2.209369))) + 0.8268323) + 0.033283606)) + (x0 * 0.025608249)) * ((x0 ^ 0.47464135) + 1.4075377)) + 0.94034076"
