Complexity,Loss,Equation
1,314453.53,"549.487"
3,29648.5,"x0 ^ 1.3495232"
4,12803.515,"exp(x0 ^ 0.3737282)"
5,7758.195,"(x0 * 0.03448336) * x0"
7,4995.834,"x0 * ((x0 ^ 0.49647066) - 6.8925323)"
9,4907.5454,"((x0 ^ 0.49911982) + -6.869514) * (x0 - 5.568838)"
11,3641.0928,"x0 * ((x0 + -334.5818) * ((x0 * x0) * -1.301762e-6))"
12,2351.062,"((x0 * (x0 - exp(x0 * 0.021153413))) * x0) * 0.00027735697"
13,2066.1335,"x0 * ((((x0 * -2.4164492e-6) - -0.00072133803) * (x0 + -49.726307)) * x0)"
15,2016.7279,"x0 + ((((x0 * -2.7967278e-6) - -0.00080462394) * (x0 + -74.07968)) * (x0 * x0))"
17,2016.4723,"x0 + (0.7360608 + (((x0 * x0) * (x0 + -74.07968)) * ((x0 * -2.7933377e-6) - -0.00080377114)))"
19,1587.2448,"(x0 + -31.267742) * (((((x0 * -2.7966923e-6) - -0.0008156189) - x0) + x0) * (x0 * (x0 + -35.135246)))"
21,1517.8226,"(((x0 + ((((x0 - -1.0666659) * -2.780713e-6) - -0.0008156193) - x0)) * (x0 + -34.713696)) * x0) * (x0 + -31.267742)"
23,1436.2887,"(x0 * (x0 + -31.380846)) * ((((((x0 - -1.1144524) * -2.780713e-6) - -0.0008156193) + x0) + (-5.561426e-6 - x0)) * (x0 + -34.510414))"
25,1379.3422,"x0 * (((((((-2.780713e-6 * (x0 - -1.1144524)) - -0.0008156193) + (x0 + -5.561426e-6)) + -5.561426e-6) - x0) * (x0 + -31.380846)) * (x0 + -35.135246))"
30,1379.3127,"((x0 * ((((((-2.780713e-6 * (x0 - -1.1144524)) - -0.0008156193) + x0) + -5.561426e-6) + (-5.561426e-6 - x0)) * (x0 + -31.380846))) * (x0 + -35.135246)) - exp(0.7957848 - x0)"
